"NIG1" "NIG2" "lasso" "ridge" "null"
"pmset" 0.624701319778731 0.637611123111934 0.652483543837557 0.799922594606724 19.9735414164284
"pmset" 0.620828189653144 0.63705169711161 0.656254085977679 0.820697197099194 24.3271107993934
"pmset" 0.661244080686571 0.67496839520384 0.698859947126865 0.880543953978464 27.0329686492417
"pmset" 0.585371574069608 0.598723435817816 0.614830030397342 0.760570953282478 20.601810620041
"pmset" 0.614845832547575 0.629543578681714 0.656583353033914 0.910842719416321 28.2652740912054
"pmset" 0.544706348246527 0.559598481859953 0.572888425347057 0.685402682335998 17.2126679671246
"pmset" 0.665056809708568 0.683176719105253 0.695813860092116 0.845932634036361 20.7940178256795
"pmset" 0.628246006833098 0.644077447313616 0.661433610290501 0.829708999351882 23.9358039903822
"pmset" 0.636607216444777 0.651687806001987 0.662449851027166 0.808893351300035 21.8510597856851
"pmset" 0.665151055617668 0.67973921607497 0.701043519309485 0.860332829797926 23.6955168194052
"pmset" 0.655729636273018 0.670525173375119 0.689015547139738 0.878787539029908 23.9467325471446
"pmset" 0.60332476417074 0.614806816283854 0.624743797503942 0.756397916497706 17.4893586238734
"pmset" 0.691498720818985 0.708566847404009 0.720430101636641 0.917325362903666 23.4376523518806
"pmset" 0.563848592878305 0.576068589670054 0.602111751767357 0.730219701586526 18.5775296345753
"pmset" 0.59526158004844 0.611076784807847 0.619845134795012 0.756161041864824 17.6486382816271
"pmset" 0.610894972962086 0.625846826884916 0.631493939757119 0.82037136187787 22.4315783062653
"pmset" 0.648036887235757 0.663413725705716 0.684823200311212 0.823271137272961 22.246706426277
"pmset" 0.68980154333242 0.703066205675559 0.723218789549843 0.930614677293622 27.8954369230845
"pmset" 0.707670434895783 0.727251761792163 0.74409408517126 0.895422226291292 22.1023872556821
"pmset" 0.62076862948701 0.635288484698241 0.651290788235878 0.833226509382442 24.2201150200611
"pmset" 0.623898965033175 0.638710920973863 0.652740507851458 0.823950665218163 22.2063531568418
"pmset" 0.659999875473044 0.676154840881118 0.7011746789124 0.873457072195195 24.6888584055161
"pmset" 0.618933031390305 0.634530116633067 0.644063772889296 0.810704100236663 21.415377851378
"pmset" 0.666313365042453 0.680507207036927 0.691788671104659 0.877706909868196 23.9563320632789
"pmset" 0.6940948122874 0.711635428696798 0.719753131262824 0.916232643753917 24.6807854040955
"pmset" 0.595920126260197 0.609243323383131 0.625816234933908 0.737939309220686 15.9971883565061
"pmset" 0.627975519688513 0.640642143622769 0.654527232253615 0.810420693483369 19.9910785852888
"pmset" 0.642394487290544 0.658810018042404 0.676646877402491 0.846142132911755 24.2631492539294
"pmset" 0.669754654703976 0.68504883637411 0.704112350434715 0.843394712087493 20.3284390063643
"pmset" 0.705259465783275 0.722683201275029 0.744532495493388 1.07207451784923 35.9705145230436
"pmset" 0.583215604073234 0.596317620627175 0.617508204797237 0.763488279603228 21.3176506428058
"pmset" 0.644576084014425 0.660681326392492 0.682134630777619 0.789366524736514 17.6771030411736
"pmset" 0.641581803542157 0.658222247729183 0.672394564944889 0.824047808604154 23.1616860054508
"pmset" 0.624223039164974 0.638898245884563 0.648374602704228 0.766888375619663 16.5098442029126
"pmset" 0.597139651984509 0.612908199386752 0.629772276340515 0.78965146511024 22.0205176389315
"pmset" 0.668196671404326 0.68590952798202 0.688973317684388 0.859319233240524 24.0913082210405
"pmset" 0.618048950103079 0.634028801962245 0.654698886129059 0.836425983046369 23.8202004700618
"pmset" 0.627920769272301 0.642031198069885 0.647072791787438 0.82710809712613 25.7594267907809
"pmset" 0.716066421455883 0.732521907922481 0.74154321774374 0.946443906973155 27.7826361397069
"pmset" 0.641841677529453 0.654500613417467 0.684372965939105 0.835762877219376 24.1482987600409
"pmset" 0.656601963367317 0.671993007843817 0.692480813375484 0.910259480479632 27.1184028254569
"pmset" 0.596185965306771 0.612124349402766 0.611640667108909 0.832835821911601 24.3896527761186
"pmset" 0.667497077756555 0.682259269790256 0.687048640610911 0.870228510462503 22.0274291900562
"alphaf0" NA 0.558945554049315 NA NA NA
"alphaf0" NA 0.547805398258051 NA NA NA
"alphaf0" NA 0.569382795394783 NA NA NA
"alphaf0" NA 0.55929481343806 NA NA NA
"alphaf0" NA 0.542810268467457 NA NA NA
"alphaf0" NA 0.580086091186289 NA NA NA
"alphaf0" NA 0.552148843801241 NA NA NA
"alphaf0" NA 0.564345268849094 NA NA NA
"alphaf0" NA 0.558884120379245 NA NA NA
"alphaf0" NA 0.5745249775891 NA NA NA
"alphaf0" NA 0.576343167410627 NA NA NA
"alphaf0" NA 0.519471950633991 NA NA NA
"alphaf0" NA 0.551850816900317 NA NA NA
"alphaf0" NA 0.561822319775723 NA NA NA
"alphaf0" NA 0.562369758664694 NA NA NA
"alphaf0" NA 0.548332894853666 NA NA NA
"alphaf0" NA 0.557475376641378 NA NA NA
"alphaf0" NA 0.552661838183062 NA NA NA
"alphaf0" NA 0.564467027832034 NA NA NA
"alphaf0" NA 0.562315772639729 NA NA NA
"alphaf0" NA 0.573269159309626 NA NA NA
"alphaf0" NA 0.564362070766444 NA NA NA
"alphaf0" NA 0.547311239035906 NA NA NA
"alphaf0" NA 0.584525107594405 NA NA NA
"alphaf0" NA 0.577545313418377 NA NA NA
"alphaf0" NA 0.56193876660716 NA NA NA
"alphaf0" NA 0.544264256011472 NA NA NA
"alphaf0" NA 0.571341521137648 NA NA NA
"alphaf0" NA 0.591543284493699 NA NA NA
"alphaf0" NA 0.547478255809832 NA NA NA
"alphaf0" NA 0.56308407315977 NA NA NA
"alphaf0" NA 0.550279185660231 NA NA NA
"alphaf0" NA 0.588995817886772 NA NA NA
"alphaf0" NA 0.59218694216498 NA NA NA
"alphaf0" NA 0.53103745507567 NA NA NA
"alphaf0" NA 0.569203203060426 NA NA NA
"alphaf0" NA 0.606820804124333 NA NA NA
"alphaf0" NA 0.574156353714403 NA NA NA
"alphaf0" NA 0.57601538795336 NA NA NA
"alphaf0" NA 0.556937160744387 NA NA NA
"alphaf0" NA 0.578968370158731 NA NA NA
"alphaf0" NA 0.564205520199687 NA NA NA
"alphaf0" NA 0.532837170876737 NA NA NA
"alphaf0" NA 0.561228101761648 NA NA NA
"alphaf0" NA 0.576886481315192 NA NA NA
"alphaf0" NA 0.567528104287418 NA NA NA
"alphaf0" NA 0.563678392394013 NA NA NA
"alphaf0" NA 0.536436492559748 NA NA NA
"alphaf0" NA 0.562822178066616 NA NA NA
"alphaf0" NA 0.541317490356708 NA NA NA
"alphaf1" NA 0.571830111407182 NA NA NA
