"intercept.1" "intercept.2" "intercept.3" "intercept.4" "intercept.5" "model1.1" "model1.2" "model1.3" "model1.4" "model1.5" "model2.1" "model2.2" "model2.3" "model2.4" "model2.5" "model3.1" "model3.2" "model3.3" "model3.4" "model3.5" "model4.1" "model4.2" "model4.3" "model4.4" "model4.5"
"11" 0.318758775412348 0.484784147228893 0.58563385496992 0.653424975300528 0.702258637566987 0.334873849502319 0.491068746840857 0.592922153232487 0.65621904614829 0.70586941286576 0.326148032066328 0.479734119611639 0.578790765714165 0.649672800023867 0.696697838052815 0.321778771268828 0.48409803349294 0.581416134776415 0.653469240494749 0.705798443323215 0.333657793664864 0.499179020245085 0.595615745975426 0.663272048102383 0.711527302642428
"12" 0.321526488477938 0.485246117206178 0.585730249166877 0.654143306275993 0.702976812384167 0.334508895756088 0.487513393632243 0.582294305159243 0.650807828380036 0.69712937161511 0.306276527738565 0.471377119816211 0.571861388886378 0.640647902165446 0.691794433811668 0.324013505451931 0.480936599878388 0.579633301848704 0.649417375607216 0.701989508741242 0.330930997346014 0.487883535129291 0.585534941183257 0.646554199349848 0.694459949055678
"13" 0.318156409514313 0.484757991428592 0.586083039211017 0.653954824891383 0.702876186474657 0.312297925109013 0.473938423182027 0.571782772659511 0.640793750491968 0.691590296130616 0.314515933162697 0.483621226405791 0.582341977538365 0.649730633026234 0.696070300581233 0.325100174300791 0.483786874815052 0.58135341261837 0.645768370852292 0.693074204400155 0.327818893014267 0.488349973856254 0.591223625438177 0.655410827986919 0.702289504322318
"14" 0.31979842942374 0.485165161827109 0.586183494225048 0.653639542248286 0.702595428311672 0.305127588128112 0.465819778859194 0.581028413928263 0.653290028911464 0.698532713209412 0.305411553663779 0.479811606462103 0.576641369523524 0.651176927439375 0.696876014974571 0.300862077016504 0.464570577114308 0.563894327804702 0.636523136234643 0.686304040922709 0.30487132012301 0.47384778154239 0.582492726829524 0.64740799378941 0.693743728231289
"15" 0.319827015383969 0.486091659810051 0.586720035905768 0.654786880769774 0.703345228035927 0.33072731950369 0.501458453167212 0.600691113841795 0.66157607714192 0.709631655461548 0.333477456826033 0.504043286696424 0.594677214599655 0.664527275301334 0.713261688455193 0.3311858602284 0.502088722178168 0.591487070988343 0.655427840724149 0.706621647513858 0.31348887243647 0.488683702110597 0.580678240122455 0.653377824899461 0.704437835189784
"16" 0.320392492799244 0.486515342562601 0.586972371533745 0.65457829812321 0.703275138089873 0.318399975634975 0.48861220777373 0.58075497901012 0.644795741216824 0.698568706908832 0.323508346199709 0.49457163369906 0.592292718042714 0.661971433448466 0.708382438949011 0.320387115954693 0.49497476768567 0.597926127406737 0.65722819744254 0.705882509620762 0.332123142667938 0.481235848705095 0.578412687555652 0.640905420172385 0.694257514678226
"17" 0.320590543725873 0.485795818803032 0.586890256942215 0.654853497578633 0.703465986782314 0.330981771017922 0.498000964392417 0.59806129207047 0.664991968492905 0.712571854243512 0.329874851339584 0.497850682149871 0.600548781029136 0.667146917604411 0.714369474663232 0.331811115167074 0.498541916554161 0.599098307500331 0.666084524486123 0.713935443310903 0.33150128866104 0.497801984586592 0.598100261056746 0.665630705839201 0.713577152316207
"18" 0.321229991899924 0.486265669192498 0.586776575140412 0.654378770302709 0.702981143492642 0.314339688826298 0.479302523092726 0.588258281380273 0.651652296572711 0.697572325968592 0.31336936453361 0.486713545956469 0.592930511469859 0.658998829744503 0.704999039631325 0.336184485096037 0.485163878635636 0.588598479249943 0.651666567879839 0.69781089110995 0.333135567023182 0.480609183768004 0.586712688756897 0.657344086219196 0.703583888035003
"19" 0.321320247937138 0.48643979384146 0.587017283688688 0.654691945104284 0.703390427739795 0.311471758690519 0.486743037968422 0.587346976793271 0.650875469145807 0.702113900366149 0.338375685081478 0.497405992707257 0.601625042408319 0.660562598130995 0.707423077029265 0.331996887766165 0.482808106770336 0.584734801634071 0.648972751620213 0.702290738688703 0.324136179450407 0.477067999893098 0.584820612997877 0.647708908192761 0.70044191399674
"20" 0.31924930386556 0.484686659241632 0.586135634275008 0.653854375984032 0.70259279066613 0.297691192225146 0.465520351898901 0.566936091104251 0.638377388944707 0.690267304868876 0.299611469798568 0.482501009001069 0.585931544857781 0.650998071590084 0.698912387737931 0.299671692270336 0.462743259018655 0.565601366142343 0.641740798865357 0.691913789726927 0.313844199585503 0.487795176528502 0.58809639069888 0.65422616797825 0.702454787975826
"21" 0.320050176068012 0.486538217573236 0.587545664045092 0.655031258069961 0.703665928372979 0.317319059014918 0.48046918717107 0.583707282698501 0.657700812956695 0.705781298185753 0.318339890722404 0.481774521608199 0.587979154496479 0.660099481596321 0.709659409314758 0.317267079730664 0.489393266925236 0.591996945534015 0.663340271518752 0.708596022472203 0.323584396678795 0.493098509260498 0.594837701640899 0.662213394821479 0.708911131695081
"22" 0.319021861673092 0.485044545372871 0.585666454209792 0.65328938326237 0.702061786072251 0.312747169148451 0.48543679347882 0.58361994410038 0.653991156795668 0.702251922555032 0.336190070908768 0.494954993121898 0.597400983333439 0.6612484822875 0.711198500434466 0.299778881610468 0.477299687931094 0.578205535241893 0.648238217669998 0.700568121419681 0.311972105910223 0.487004678234339 0.59155519119425 0.654910981391804 0.700990406414901
"23" 0.318452790831031 0.483745332235159 0.584742176725043 0.653104118551955 0.702131932080093 0.331577761496158 0.495625412771687 0.594948127979838 0.663080678928152 0.712938144935142 0.330042461914873 0.503449082836849 0.598026268807439 0.664555450851724 0.711857444103138 0.328054495121106 0.496139912217462 0.596741571662563 0.663323548561007 0.713681164627856 0.330658453594517 0.496186680196 0.596664427216961 0.663493473285403 0.711512957416486
"24" 0.324320496746193 0.487043965700668 0.587356304282533 0.654698888382763 0.703219672579563 0.328150363544487 0.493220057564291 0.595767600015756 0.662722664539163 0.709879663955801 0.302978817380591 0.482976465884716 0.591058178793546 0.659746657189066 0.7069259370856 0.325633419872134 0.489678891715619 0.594366958794719 0.660742260722798 0.707855976950771 0.33056381200458 0.497894175470726 0.598900265183533 0.6650212667728 0.713151935776072
"25" 0.320175039903734 0.485655184673189 0.586337865706834 0.653600386293817 0.702394506248622 0.308658238221293 0.471117687579834 0.579965000763234 0.649135874303752 0.696740391229971 0.317062800624298 0.476957291976373 0.580906545731778 0.652936953104756 0.700188663980618 0.320255713883878 0.481231101831542 0.577778114977296 0.646950724723613 0.694449326745726 0.300384662184429 0.481479405503532 0.586318283979885 0.656150241840001 0.700866148520631
