"cram.nig" "cram.nigig" "cram.studentst" "corbest.nig" "corbest.nigig" "corbest.studentst" "msebest.nig" "msebest.nigig" "msebest.studentst" "cover.nig" "cover.nigig" "cover.studentst"
"set1.rep13" 14.8796559385066 11.7230696165057 14.8839778833492 0.995026233717744 0.99516756043656 0.994874845754296 0.0110962760401298 0.0106779871661294 0.0114000364463211 1 1 1
"set1.rep14" 6.32422749062622 6.75793677718711 5.33233265452637 0.990837293633388 0.991082635876589 0.990864573672083 0.013351795046784 0.0129912435882609 0.0133091163700328 1 1 1
"set1.rep15" 7.53366600634808 7.81504557477564 8.23930056717598 0.987359116033529 0.987337376082337 0.987055724406413 0.0268742288331302 0.0271692199340448 0.0273632602390318 1 0.967741935483871 1
"set1.rep16" 2.81596183205707 5.62582890597979 3.23434259300565 0.977050666354304 0.978771953122407 0.976495916889823 0.0275628766620019 0.0259529773113225 0.0284808013397105 0.967741935483871 0.967741935483871 0.967741935483871
"set1.rep17" 4.43305687151507 4.69908747289122 3.84297618131402 0.950251507841872 0.953895196415653 0.950512258614825 0.0461176637491952 0.0426727467610861 0.0458212239253513 0.870967741935484 0.870967741935484 0.870967741935484
"set1.rep18" 17.0837506200892 15.4428791281919 18.8979942374161 0.988987335897366 0.988960002555363 0.988967428132241 0.0406814808223491 0.0408762277101728 0.0406796997768364 0.870967741935484 0.903225806451613 0.838709677419355
"set1.rep19" 15.7562486288844 14.5998485876309 16.1430184084871 0.989728712734601 0.989736870120561 0.990062002075748 0.0323750609135592 0.0321904557195532 0.0313703679570054 0.935483870967742 0.967741935483871 0.935483870967742
"set1.rep20" 17.462984315495 18.2336095533259 17.8577786959518 0.994276245125226 0.994529085018407 0.994367259796762 0.0123051986520663 0.0118162312096009 0.0121558104828659 1 1 1
"set1.rep21" 4.2759466733604 3.96244743892066 3.90009019982773 0.986836937184531 0.986793622454503 0.98658647425605 0.0277786313976579 0.0279185245562292 0.0283353330375025 0.935483870967742 0.935483870967742 0.935483870967742
"set1.rep22" 8.12602671754686 9.98929246065211 8.22548764963993 0.973593864049623 0.974787114965585 0.973894049557524 0.0340346024310832 0.0324368443091715 0.0336012617399372 0.935483870967742 0.935483870967742 0.935483870967742
