"NIGf-" "NIGf" "lasso" "ridge" "null"
"emsel" 0.0246630813406332 0.0238217018963888 0.0268018709002513 0.035521231842107 0.201392184593477
"emsel" 0.0219672795645391 0.0217343498812255 0.0234850606126297 0.0340727757809425 0.185028425659612
"emsel" 0.0212129966713151 0.0204012950474716 0.0226602640981715 0.0337327900422214 0.199486499953403
"emsel" 0.0208686535186609 0.0204719378981501 0.0219823683006047 0.0322004490273374 0.180970333442242
"emsel" 0.0242493588609743 0.0235689505556397 0.025130960607983 0.037273011120866 0.197780774832611
"emsel" 0.0225085293692254 0.0214856745876136 0.0243632623748289 0.0349870921063171 0.189308847493416
"emsel" 0.0243378167528698 0.0233571156771585 0.02602411544682 0.0367394431566528 0.211615835439583
"emsel" 0.0227093434483107 0.0217766404324297 0.0246319440418269 0.0342555846450645 0.188509301756045
"emsel" 0.0233227001146527 0.0223862199595083 0.0251485769916249 0.0356921950102721 0.194580804873825
"emsel" 0.023045370340746 0.0220281609905383 0.0244814247476872 0.0361722133781453 0.200315692548546
"emsel" 0.0223958421595298 0.0214194400588477 0.0240843487596342 0.0341564511690669 0.185563510194307
"emsel" 0.0229632735691551 0.0222751654820668 0.0244155599393187 0.036663778644113 0.215935423419002
"emsel" 0.0236855309580169 0.0230083282089973 0.0253780026115495 0.0362034851155168 0.196225115965481
"emsel" 0.0231812925679048 0.0222983568683069 0.0250400109106963 0.0353094674233383 0.192569906696478
"emsel" 0.0322288558465473 0.0303188989453669 0.0379120509205465 0.0452934969052573 0.255376903770497
"emsel" 0.0220853837972672 0.021488102208711 0.0236568817440381 0.0331775797870033 0.188864153884031
"emsel" 0.02265064669042 0.0222276960860905 0.0243996111964973 0.0331545738129013 0.185485946050734
"emsel" 0.0257382665123397 0.0247707417772924 0.0271990731542608 0.0392136783239604 0.209064006548721
"emsel" 0.0237613042088695 0.0229484014188706 0.0259333209853067 0.0395876835356291 0.20729259595331
"emsel" 0.021978966450123 0.0212579833594218 0.0236889318332827 0.0351975948452881 0.179330179505082
"emsel" 0.0201883732466456 0.0194985142120765 0.0214436177658843 0.0314668227231196 0.180492134523416
"emsel" 0.0230100165289305 0.0223239759054913 0.0253780457072877 0.0355160812619529 0.197574806079779
"emsel" 0.0245210950642761 0.0238884023121305 0.0263576493234393 0.0371118926032345 0.198109570780954
"emsel" 0.0227695810061403 0.021955181303993 0.0243652055099567 0.0345730627336153 0.182922082989325
"emsel" 0.0248762279300255 0.0242238389610448 0.026685023651181 0.0392704287732455 0.218087100128312
"emsel" 0.0233577612764068 0.0227995976324984 0.025184956212107 0.0376582778339697 0.212580011455459
"emsel" 0.0232785960218706 0.0222699791003589 0.0252397313005846 0.0354153279047943 0.196804224996596
"emsel" 0.0231913863986676 0.0223046656738422 0.0246618505904274 0.0362750752751344 0.2094487320337
"emsel" 0.0300409843866655 0.028767441648047 0.0326215764357002 0.045860946404682 0.250582024592122
"emsel" 0.0221372909944624 0.0213366676061516 0.0238610348475564 0.0350042314202132 0.192743897653164
"emsel" 0.0253856745048846 0.0240528107152084 0.0276979088313181 0.0406452342242162 0.21580717662788
"emsel" 0.0249638848063425 0.0240304529872516 0.0272584989788893 0.0384910215534499 0.210152210658345
"emsel" 0.0233950972485728 0.0224740904999029 0.0250706597248743 0.0368852567525609 0.201285181747075
"emsel" 0.0231048917046707 0.022417047954542 0.024886275300706 0.0351118750450507 0.191180428207932
"emsel" 0.0223552602800437 0.0219468970109949 0.0240522423686052 0.0377045088254975 0.205234755650854
"emsel" 0.0273087372111419 0.0263900540100927 0.0291815275111571 0.0417825046204716 0.245716424721475
"emsel" 0.025195790547588 0.0242905909051853 0.026500654996852 0.0417328713091593 0.218646443724276
"emsel" 0.0214673339819326 0.0209775160863913 0.0231899741598059 0.0337663274257233 0.185553002276019
"emsel" 0.0272624171013147 0.0257579044320068 0.0290983790619594 0.0424118057809339 0.230307237497557
"emsel" 0.0250364855028059 0.0244940380892868 0.0270318399687447 0.0382839006442708 0.210549316544898
"emsel" 0.0227418308455013 0.0214610373765941 0.0244781312771135 0.037649161757506 0.207255072615614
"emsel" 0.0212752315339379 0.0207019559256639 0.0223389619807969 0.0328380690229088 0.18896712616387
"emsel" 0.0255782803540726 0.0247061344835654 0.0270817251318664 0.0387780476634126 0.211140664115495
"emsel" 0.0231135723178886 0.0224496180547266 0.0249115921591297 0.0366025553417328 0.199927302314232
"emsel" 0.0243856400938732 0.0235717400408797 0.0264192545977883 0.0374372181795039 0.202270721078384
"emsel" 0.0263711105170084 0.0251198063626502 0.0287042252498272 0.0413726070926781 0.222454746542113
"emsel" 0.0258285685564779 0.024834785216529 0.027844803919855 0.0405207576526008 0.215634181328793
"emsel" 0.0275230970179935 0.0261156910145409 0.0295451749910108 0.0431865779697835 0.230039038876465
