"cram.advi" "cram.vb" "corbvar.advi" "corbvar.vb" "msebvar.advi" "msebvar.vb" "corbest.advi" "corbest.vb" "corbest.glmnet" "corbest.map" "msebest.advi" "msebest.vb" "msebest.glmnet" "msebest.map"
"rep11" 912.169781908278 11.8685852911029 0.0248284392464742 0.812319835283331 0.0456516492415287 0.00170793980355071 0.896807105150565 0.999221239781131 0.729869208620826 0.826688418237269 0.266430358917583 0.00158797913981059 0.516658059458627 0.469232560738529
"rep12" 800.198001856665 30.0018052982418 0.0345390364673732 0.637196995432611 0.036560309747694 0.00346785268078026 0.88358433741609 0.996430787528972 0.734346255872422 0.632462730863355 0.232682384541014 0.00589261286965216 0.485763285407468 0.430133086125254
"rep13" 863.823986631915 9.08529913461154 0.00748196161016791 0.725459230644233 0.0282257339095194 0.00312468550933359 0.900590620612552 0.999537442366983 0.517016941333896 0.850757442834342 0.259056745070672 0.000566153836767429 1.43699413568321 0.438995073102428
"rep14" 667.323896742101 123.340126968485 0.0289455253551512 0.653847091535019 0.0620179398738033 0.00291519128107079 0.894882688904517 0.988288380043664 0.727433028983418 0.575262789890317 0.171058644985059 0.0344150360845387 0.528387704717561 0.308219467574415
"rep15" 760.60009510976 87.3654782882403 0.0895213156184486 0.359309260870571 0.0244529838239206 0.00606023748426586 0.853860811634334 0.986607635682876 0.754264839195675 0.522361037631527 0.200188883775026 0.0119215032611531 0.326109809966804 0.344455666957301
"rep16" 1540.42215957206 13.53597717678 0.306750860292204 0.782027541902188 0.0259025369314393 0.00151649254918374 0.476917810617378 0.998325475469353 0.497816959840523 0.828400043351428 0.503723440381723 0.00201044503672944 1.48603641722331 0.372894856555408
"rep17" 1792.90143326423 12.4264679327362 0.0269310965265235 0.757486713319507 0.01437402194686 0.00160606469552217 0.515550520751894 0.998690488888181 0.718242874424603 0.401614533618344 0.568405540977316 0.00136574220582154 0.488563735642739 0.438442083348869
"rep18" 940.637415114226 268.911980227179 0.0876396293018087 0.217837970389581 0.052943129037327 0.035409105167081 0.84072829470084 0.950775893224376 0.667984814667069 0.50119706366461 0.253080549539425 0.0514872126563642 0.603149609432525 0.459755375730211
"rep19" 903.305289834695 12.7016672600395 0.146763342691832 0.687724472461205 0.0305901215318814 0.00367343567347376 0.866557474782895 0.998666142323077 0.751483683928231 0.464926400438025 0.270027455159487 0.00143250608181418 0.411267812780881 0.485001921378075
"rep20" 753.631252048053 11.4246401293339 0.0680710803276955 0.774843895775344 0.0261015580421217 0.00150049051920883 0.88186672309185 0.999162537913076 0.716450425284317 0.685289229072096 0.195675545694914 0.00144860685109248 0.429740160257781 0.351197929964153
"rep21" 785.677528310153 29.1175618334218 0.0103829056566458 0.794476614775465 0.0484823303353621 0.00199250525455315 0.896123408368312 0.996963262003896 0.657892109586514 0.753340024089213 0.216557668578038 0.00656704031640523 0.704434327345707 0.387702074697723
"rep22" 1020.42920094988 10.5843161321832 0.0477094518671956 0.820647061746069 0.0452279206155328 0.00184914569980325 0.881510289829041 0.999182366221114 0.752488190580016 0.994617732242263 0.292284841079246 0.00101263075119724 0.439869550422125 0.00615515230531279
