"NIGfd-" "NIGfd" "lasso" "ridge" "null"
"emse" 0.122892861187779 0.12285925202798 0.122777682280893 0.133811891375272 0.199154851996611
"emse" 0.148515610347422 0.148507571330256 0.148294862924559 0.161169897029108 0.236625279282272
"emse" 0.139399735989151 0.139374013684231 0.139162651404872 0.152094234258336 0.220795972418289
"emse" 0.149768835666265 0.149713743622604 0.149606423019873 0.16172407312039 0.232247650360348
"emse" 0.138837317320771 0.138781792299889 0.13866916052992 0.150251596459107 0.218186745985618
"emse" 0.113356769777684 0.113384841118461 0.113114498670376 0.123646434761322 0.186797318425779
"emse" 0.160728126260398 0.16073529961771 0.160490410879999 0.174640473303803 0.248730253008294
"emse" 0.140707078096034 0.140654437136426 0.140503182939182 0.15226711691124 0.22271295256741
"emse" 0.146135078302002 0.146103792351476 0.145834049840646 0.158729094513425 0.230742976335774
"emse" 0.156107422951503 0.156079817912293 0.155999040998105 0.168060263177306 0.244192505145193
"emse" 0.152079183755154 0.152039903441617 0.152168572169835 0.16483003012074 0.239200988447931
"emse" 0.127776158964971 0.127738726052848 0.12767600627674 0.139595643210429 0.206282730762021
"emse" 0.151153227047597 0.151128808462795 0.151184109721509 0.163697736890772 0.237165330938238
"emse" 0.146636483783663 0.14657659134764 0.146578405744222 0.159279038178899 0.231291232837516
"emse" 0.143071553876498 0.142988741385271 0.142965173707856 0.154638767842613 0.225248455034375
"emse" 0.138469220839912 0.138497795427781 0.138252314950387 0.150302556268344 0.22002018553442
"emse" 0.123641261443574 0.123574961835562 0.123438079277521 0.134799357039389 0.201359797522282
"emse" 0.112177926530277 0.112119594506945 0.112071799101884 0.12222951825687 0.186680265769205
"emse" 0.144981029448609 0.144907005288472 0.144989507249081 0.156620054056382 0.228238940880087
"emse" 0.118389858088976 0.118332636419736 0.118297398872956 0.129422920825938 0.194431914986365
"emse" 0.12663088375948 0.126588526118619 0.126548051401139 0.137496791910569 0.205404410906693
"emse" 0.121675147556282 0.121600966746927 0.121534363850807 0.131913608827049 0.198130880538156
"emse" 0.157006573994824 0.157017310506795 0.156989202107154 0.170360535072781 0.24268906985595
"emse" 0.135092262424071 0.135050695664178 0.134874140072273 0.146565165769452 0.214281415139682
"emse" 0.151839680354475 0.151810887683649 0.151659113239399 0.164265881457923 0.237477229677011
"emse" 0.150133875338825 0.150112062726885 0.14998440699264 0.163012569116551 0.233760955069497
"emse" 0.143744807740614 0.143723415492523 0.143515821253128 0.156322345013816 0.22825021064378
"emse" 0.130641822031395 0.130590460032501 0.130368819264388 0.142575370218987 0.21107849305062
"emse" 0.125721598670781 0.125601738191382 0.125682847401567 0.13679182603727 0.20265984512692
"emse" 0.128756938071766 0.128714255738557 0.128701759863605 0.139849217317539 0.205268741628337
"emse" 0.159321642259898 0.159266006390682 0.159268506684241 0.172148356633972 0.246115699261948
"emse" 0.13728912865235 0.137216601347261 0.137157214023768 0.14854277557732 0.217994495415161
"emse" 0.135893513814426 0.135851026381045 0.135734191552424 0.148013862634919 0.216309621005157
"emse" 0.126050658406123 0.125983863051415 0.125923556044561 0.137859700688535 0.205611911219294
"emse" 0.14665011897327 0.146575564872408 0.146686718000431 0.158340019685954 0.231372828174109
"emse" 0.127354656082533 0.127311798256764 0.127185651412843 0.138348524583856 0.20537252239902
"emse" 0.111118625003227 0.111063472831339 0.110993865757929 0.120882756396696 0.185503895712727
"emse" 0.15440627338689 0.154388990169445 0.154232150195018 0.167003697431641 0.242597338329761
"emse" 0.11904833926285 0.119004352567844 0.119004695444219 0.130302261998357 0.193378246661181
"emsel" 0.0580449732971036 0.0580383174546595 0.0580679528226255 0.0623605820714535 0.0921700901769482
"emsel" 0.0607501108389125 0.0607510831957192 0.0607029177218886 0.0652005140091273 0.0959704981892731
"emsel" 0.0616396978263104 0.0616374129599805 0.0617159562146803 0.0659937171348869 0.0964644899362803
"emsel" 0.060713732058715 0.0606910892406695 0.0607231229031475 0.0651160938441515 0.0950683905821854
