"alpha1" "alpha2" "alpha3" "alpha4" "alpha5" "lambda1" "lambda2" "lambda3" "lambda4" "lambda5" "lambda6" "lambda7" "lambda8" "lambda9" "lambda10"
"rep11" 0.0174367955374735 0.189409553027713 0.581712446368827 1.90365780335522 4.20311034503348 0.60088533500949 1.83023091454763 2.73669241293415 0.862828483526725 2.64066729410109 3.93510388823664 2.14873299865051 1.60196600401798 1.24454374298839 2.67240359542962
"rep12" 0.0231260899480173 0.194294848839935 0.290252985739337 2.75881848388959 3.44197631480444 3.14848491669896 0.963852813993907 0.57721658239488 1.02697607529891 0.232912758806697 0.980415632632338 2.53020508819686 3.88597259836925 2.81688250791875 1.25068194116316
"rep13" 0.0478284415359389 0.468989191478339 0.550649424759189 1.00874922188276 3.74608029387795 0.80305045386264 1.93592599158283 0.347431630905421 0.242663816997401 1.22200139603292 0.975031995716203 0.758946934907514 2.84983136292185 4.41847568932358 5.94154712195426
"rep14" 0.0105828325958766 0.238609932068495 0.550781067119731 2.32405038158478 3.19837015865586 2.49081820517492 1.55174256009521 0.342155570693194 3.29586022100465 1.7612315914286 2.68387515620755 1.50670171046222 0.749038615189179 0.123230484844245 2.6660501648506
"rep15" 0.0798306818247845 0.115160539221709 0.900695871486096 2.34477682076957 3.01578825965705 0.265505829863963 5.50906435059562 4.26049983430723 2.32556830894489 0.880667878611371 0.532349303738845 3.3358980843948 2.6714315387664 3.68161627037595 0.382734702637126
"rep16" 0.132000997609639 0.313852031932746 0.936958175511752 2.38937614001392 1.64223780815223 0.640956164931984 15.4821871976057 0.378671769422847 0.433320394485207 2.28204468579961 0.519066779040676 2.34608850914537 1.07812676290981 2.77666574454847 0.700601693060254
"rep17" 0.118749367466739 0.13644894027736 0.598995316210255 1.64702029040115 2.40115315090871 4.12644753852004 0.10316441121568 0.804968249882445 0.896256131034687 18.1804073465345 1.15013411866461 1.32589339749286 0.470133354687935 0.136010829244247 2.4479542733501
"rep18" 0.00769215523936291 0.142231794927422 0.467202000152278 0.539528696693581 4.16444127679232 0.656420063260076 1.77603240214569 0.186292153646908 0.681634855668208 0.702715371888124 0.515413596859637 0.35013925993248 7.31747115431221 1.64040818161875 0.512178794000781
"rep19" 0.00642104611736359 0.0787339108292594 0.73640184357853 1.29849888537669 3.49211000800429 2.69179458033147 0.135444504852326 4.1738720812218 2.04027572800781 0.843019382501924 1.42833088896498 0.182657607628461 1.01362280690349 3.1567066498754 0.859340359855296
"rep20" 0.019252060154079 0.198005821382931 0.540569909622675 2.07468317876465 3.19230651984447 0.577203545612902 2.23731827804482 0.512456000541301 0.153874829731249 0.576819182743354 1.84068135488583 1.03272928708919 2.83273604840818 2.41974595630276 3.22115778849983
"rep21" 0.0874697045292969 0.111723510367926 0.909859235834444 1.48359039997257 2.87010691015205 0.656934597490329 0.250673120068392 0.383426017166766 7.72430460781668 5.85448100222396 1.8709864735901 1.53957641977679 0.270169185936731 3.41805512608689 0.391221107514456
"rep22" 0.0052863489416679 0.349031861971308 0.739680738016813 3.42703358723784 1.23060565337911 0.530110505111186 1.53671371029621 0.58182211184895 1.49051823364271 1.91121855908789 1.67002754753118 0.268274123384248 1.01723950451228 3.70224517604051 0.878988227229171
"rep23" 0.00546654566426123 0.0984142821153589 0.686442450950648 2.06772845395344 1.95667838305809 1.18518745552969 1.79760819871751 0.427795500903725 0.304546093459339 3.71578597760611 0.229525784983601 3.89269860613763 0.377413076938251 0.274763396147593 0.475867913258147
"rep24" 0.093598758059523 0.338710508199804 0.205638177800183 0.523515198996132 3.56443242593039 0.359339195516736 7.12663493013644 0.0907595264687567 4.14099865120401 3.94755555656084 0.175350061877629 0.574038429455318 0.461584908337952 2.10421064002398 0.414155304598321
"rep25" 0.0295811954453407 0.0543526888163627 0.217612104786194 0.79954949265472 4.45761355497041 1.2720528794914 0.715834869745642 0.798036436192007 0.409096280354078 1.07426855292656 0.0919967690495452 0.532199634950843 1.04808983521167 1.65085957486066 5.9933462540276
"rep26" 0.0337084584953767 0.147554111086075 0.375071581509451 4.21422726960209 1.98055891443975 2.23385883529731 5.96313249194809 1.05349821053624 0.470137424707666 0.425291769268674 2.37185758424228 2.02695518928535 2.00357389325921 0.96667433940985 2.49872103424915
"rep27" 0.0941287794327666 0.232799379610671 0.543482309484094 1.11411814301909 4.18328156452625 13.7346675422427 0.965813543866891 2.65016278442705 5.8706506663781 6.19401723902687 0.149985086920948 0.884682614061513 1.79296902223188 1.35867636189506 0.656185226352678
"rep28" 0.0100241852515843 0.108214851126886 0.341967224380648 0.464394807642447 4.90541198301155 0.320413201151323 0.966820632994442 8.45909038957089 0.864862768893827 0.452401385713774 1.20901278899997 0.202084307771313 1.38614942690908 2.11220873350218 0.44020132545748
"rep29" 0.233206175828207 -0.0327179866967999 0.245640500720391 0.783739582662694 3.87446449846367 4.92460766165967 2.26146950201444 4.86763097592445 0.105074848173479 3.2660123921914 1.52056685480139 0.398750100426456 0.411975350206303 0.902516545574666 4.27677819327557
"rep30" 0.0376717993417423 0.113745045837088 0.430222061761856 2.58514853336468 3.14491180030706 0.785106486206426 2.00526714543383 0.416062435894453 1.33492908095981 0.0650501524479266 3.96946397592479 0.45492795283567 7.7069881379925 1.31815733288295 5.42413344764007
