<<<<<<< HEAD
"nig1" "nig2" "ridge1" "lasso1" "dss.nig1.1" "dss.nig1.2" "dss.nig1.3" "dss.nig1.4" "dss.nig2.1" "dss.nig2.2" "dss.nig2.3" "dss.nig2.4" "dss.lasso1.1" "dss.lasso1.2"
"pmse.drug26" 0.886945279257159 0.888766838455658 0.87890653600398 0.848465519390711 NA NA NA NA NA NA NA NA NA NA
"pmse.drug27" 0.597813755964564 0.59785807861321 0.60059081480872 0.622486637189648 NA NA NA NA NA NA NA NA NA NA
"pmse.drug28" 1.00477072527066 1.00389126199962 0.960639619237413 0.952562261685652 NA NA NA NA NA NA NA NA NA NA
"pmse.drug29" 0.865671746740783 0.86521686468312 0.87309797382029 0.881558091208209 NA NA NA NA NA NA NA NA NA NA
"pmse.drug30" 0.910914643669189 0.910593320160282 0.911477266922732 0.88669215593257 NA NA NA NA NA NA NA NA NA NA
"pmse.drug31" 0.812378324242008 0.819244672833693 0.798270310924177 0.864712752687169 NA NA NA NA NA NA NA NA NA NA
"pmse.drug32" 0.847700034758575 0.853262872910752 0.845957508047803 0.912698112044322 NA NA NA NA NA NA NA NA NA NA
"pmse.drug33" 0.877561699136307 0.877553273056647 0.885715449449719 0.909573541210596 NA NA NA NA NA NA NA NA NA NA
"pmse.drug34" 0.560345197191505 0.560592221740121 0.568391943394377 0.622258447882234 NA NA NA NA NA NA NA NA NA NA
"pmse.drug35" 0.728815798339665 0.728753729424262 0.71751484280971 0.731783997528411 NA NA NA NA NA NA NA NA NA NA
"pmse.drug36" 0.935575061451525 0.939546857491794 0.914817632922731 0.948729221447152 NA NA NA NA NA NA NA NA NA NA
"pmse.drug37" 0.760126387908307 0.760378693229231 0.745194690668239 0.785148475259798 NA NA NA NA NA NA NA NA NA NA
"pmse.drug38" 0.926898422209818 0.926842828432359 0.912128933495215 0.929672345884834 NA NA NA NA NA NA NA NA NA NA
"pmse.drug39" 0.878101057376394 0.877555149929342 0.877324937491337 0.891625157823161 NA NA NA NA NA NA NA NA NA NA
"pmse.drug40" 0.967339413735395 0.975706858529413 0.925601117565217 0.978855738585149 NA NA NA NA NA NA NA NA NA NA
"pmse.drug41" 0.754657918578473 0.754930833787425 0.759653049917784 0.805207330172137 NA NA NA NA NA NA NA NA NA NA
"pmse.drug42" 0.86550263563455 0.86584794347876 0.897860035662443 0.945960766619361 NA NA NA NA NA NA NA NA NA NA
"pmse.drug43" 0.702046080178676 0.701973281856896 0.702777453462512 0.724857269005079 NA NA NA NA NA NA NA NA NA NA
"pmse.drug44" 0.669027103130316 0.668638394789959 0.678083469304806 0.726299561063244 NA NA NA NA NA NA NA NA NA NA
"pmse.drug45" 0.636288031742852 0.636051234021867 0.650516819209825 0.653698674854073 NA NA NA NA NA NA NA NA NA NA
"pmse.drug46" 0.811208394955416 0.811300161689594 0.809815456313576 0.819963614333796 NA NA NA NA NA NA NA NA NA NA
"pmse.drug47" 0.647692555934728 0.647779030949435 0.655958062070054 0.642157888583715 NA NA NA NA NA NA NA NA NA NA
"pmse.drug48" 0.951982013890987 0.951929162702199 0.945942915765613 0.976906251935326 NA NA NA NA NA NA NA NA NA NA
"pmse.drug49" 0.701716987157194 0.703071649106302 0.724911689230133 0.810509680256496 NA NA NA NA NA NA NA NA NA NA
"pmse.drug50" 0.880828675291851 0.880832446113338 0.881219974721414 0.904664280312536 NA NA NA NA NA NA NA NA NA NA
"pmse.drug51" 0.745305487794909 0.745416556536904 0.763956540468007 0.766128780701996 NA NA NA NA NA NA NA NA NA NA
"pmse.drug52" 0.775733241003355 0.776328757520004 0.835137081579408 0.829371868424629 NA NA NA NA NA NA NA NA NA NA
"pmse.drug53" 0.637896013302579 0.638732482081513 0.63914638598364 0.642562728346554 NA NA NA NA NA NA NA NA NA NA
"pmse.drug54" 0.670232563613626 0.671418030380179 0.668260942018356 0.711534997392309 NA NA NA NA NA NA NA NA NA NA
"pmse.drug55" 0.889281455211534 0.889165856179411 0.859532601173392 0.866009810420559 NA NA NA NA NA NA NA NA NA NA
"pmse.drug56" 0.793010240893629 0.792684500030547 0.791910149430223 0.809335469375449 NA NA NA NA NA NA NA NA NA NA
"pmse.drug57" 0.853703282120786 0.854281224533703 0.852850077295016 0.887375371461898 NA NA NA NA NA NA NA NA NA NA
"pmse.drug58" 0.638967017594089 0.639199173731582 0.646250822225097 0.669219428545258 NA NA NA NA NA NA NA NA NA NA
