"semnig2" "lasso1" "dss.semnig2"
"pmse.drug61" 1.0109069652386 0.984845109114622 0.985192021093971
"pmse.drug62" 0.960480951667379 0.949716253680631 0.959760865079243
"pmse.drug63" 0.837792031594768 0.845918407071758 0.844397746792165
"pmse.drug64" 0.91861039205525 0.860843327010156 0.843245580876045
"pmse.drug65" 0.884018336558809 0.868069195058096 0.858483644393751
"pmse.drug66" 0.890911423703702 0.887819192374083 0.892372663748897
"pmse.drug67" 1.00433697473604 1.08552231097376 1.01864820618494
"pmse.drug68" 0.966275216157357 0.878410584275696 0.879259796994158
"pmse.drug69" 0.748128318536033 0.770873097604908 0.773328773378294
"pmse.drug70" 0.823756859768611 0.838039738104871 0.830591376226166
"pmse.drug71" 0.675976039873337 0.701961791053845 0.70368436367274
"pmse.drug72" 0.869743704877689 0.904180884771315 0.904465564569253
"pmse.drug73" 0.831608216483756 0.825874751841352 0.825001824060225
"pmse.drug74" 0.89494224138796 0.935868380889845 0.911545509322596
"pmse.drug75" 0.789319890193378 0.824175767444717 0.81659809047417
"pmse.drug76" 0.866833991439803 0.860940328814262 0.860201594646384
"pmse.drug77" 0.743199150112847 0.769747378534104 0.764023651737925
"pmse.drug78" 0.823687553462028 0.808386647080805 0.819432340189852
"pmse.drug79" 0.743464460593199 0.771931252118409 0.762172332960266
"pmse.drug80" 0.886400608313535 0.911645083339794 0.916866200586399
"pmse.drug81" 0.578949635764862 0.60415584250189 0.607146887322004
"pmse.drug82" 0.875516401666488 0.924663549005371 0.925744613898619
"pmse.drug83" 0.921356864153822 0.917957288165842 0.901828246086301
"pmse.drug84" 0.820561462581677 0.807134070709222 0.812448721560613
"pmse.drug85" 0.830296771517151 0.859958756732858 0.861598465636711
"pmse.drug86" 0.837771931487119 0.904288694851997 0.889426689153993
"pmse.drug87" 0.878787138621768 0.890701188725064 0.889904185810924
"pmse.drug88" 0.931853013663816 0.944815070524764 0.947658120500762
"pmse.drug89" 0.990800689824384 0.979454933722451 0.982718517831764
"pmse.drug90" 0.970012462388486 1.01108008838116 0.947835485968257
"pmse.drug91" 0.993175903846702 1.0671428808945 1.04597399455574
"pmse.drug92" 0.85204161968066 0.871872101166443 0.867076245019854
"pmse.drug93" 0.756123661946923 0.754380341792457 0.755266017236152
"pmse.drug94" 0.763914896730376 0.743796776304443 0.751023048521822
"pmse.drug95" 0.706119556931277 0.707638318643134 0.693452909775462
"pmse.drug96" 0.971746587920378 0.986467719284058 0.940553513380699
"pmse.drug97" 0.814671344518455 0.921204954912851 0.935709412531269
"pmse.drug98" 0.782106728174501 0.793339489958414 0.799892922616993
