"set1.cram.enig" "set1.cram.studentst" "set1.corbest.enig" "set1.corbest.studentst" "set1.msebest.enig" "set1.msebest.studentst" "set1.cover.enig" "set1.cover.studentst" "set2.cram.enig" "set2.cram.studentst" "set2.corbest.enig" "set2.corbest.studentst" "set2.msebest.enig" "set2.msebest.studentst" "set2.cover.enig" "set2.cover.studentst" "set3.cram.enig" "set3.cram.studentst" "set3.corbest.enig" "set3.corbest.studentst" "set3.msebest.enig" "set3.msebest.studentst" "set3.cover.enig" "set3.cover.studentst" "set4.cram.enig" "set4.cram.studentst" "set4.corbest.enig" "set4.corbest.studentst" "set4.msebest.enig" "set4.msebest.studentst" "set4.cover.enig" "set4.cover.studentst" "set5.cram.enig" "set5.cram.studentst" "set5.corbest.enig" "set5.corbest.studentst" "set5.msebest.enig" "set5.msebest.studentst" "set5.cover.enig" "set5.cover.studentst" "set6.cram.enig" "set6.cram.studentst" "set6.corbest.enig" "set6.corbest.studentst" "set6.msebest.enig" "set6.msebest.studentst" "set6.cover.enig" "set6.cover.studentst"
"rep11" 1177.6109958231 1178.12484028651 0.70091514091763 0.70988989281913 1.04544298754088 1.0446993293056 0.0895522388059701 0.0845771144278607 1176.57259373345 1179.02018538586 0.703179523757013 0.707639880520512 1.0435723964523 1.043215406727 0.0895522388059701 0.0945273631840796 1175.22119688925 1180.30973271635 0.699277736362717 0.708730842149409 1.04324675857486 1.04230985343489 0.0995024875621891 0.0845771144278607 1178.89193504238 1177.11496159665 0.65477670946197 0.708558127916179 1.04903346425244 1.04553456869831 0.0845771144278607 0.0895522388059701 1177.65849481539 1176.06983085991 0.657417733000482 0.711413091142378 1.04689046589329 1.04309826367271 0.0796019900497512 0.0895522388059701 1177.68178158559 1181.10262477517 0.654207877496116 0.704758383920692 1.04653658341471 1.04306492891352 0.0845771144278607 0.0945273631840796
"rep12" 1157.45439318278 1158.95374835974 0.716035254260538 0.721223710948612 0.984712530540137 0.984789719584232 0.124378109452736 0.134328358208955 1156.63805081472 1159.95180827825 0.718445119029631 0.720375612094896 0.982495650113084 0.98283209615156 0.134328358208955 0.149253731343284 1155.57007300578 1159.51868025492 0.717683455413524 0.72176912803667 0.981642130098387 0.98148054504663 0.119402985074627 0.134328358208955 1148.98543616605 1164.16781709524 0.699823355241982 0.720808602910788 0.985523673327289 0.986313010258597 0.134328358208955 0.129353233830846 1144.39436604017 1158.30400907127 0.703025540421069 0.719517441038939 0.98309442528371 0.983898901413733 0.124378109452736 0.134328358208955 1141.27331896397 1158.78410136385 0.707419786727871 0.719385259471745 0.981640169288066 0.982339824815861 0.139303482587065 0.134328358208955
"rep13" 1281.68299552366 1284.04754085782 0.6662653370313 0.674968299756873 1.10336471113578 1.10299813860108 0.054726368159204 0.054726368159204 1282.58337502032 1281.35978068085 0.666159948535722 0.67327470479346 1.10241912321449 1.10227318043324 0.0497512437810945 0.054726368159204 1286.31964888092 1284.47479725002 0.663330986195005 0.673809952667863 1.10218403161786 1.10162626200262 0.0497512437810945 0.054726368159204 1285.32721952325 1281.55291874205 0.618122086892001 0.675470031500841 1.10579290283558 1.10327272117312 0.054726368159204 0.054726368159204 1288.13768440781 1282.73447037838 0.616960965032971 0.67401414410879 1.10480393110057 1.1024591715553 0.0497512437810945 0.054726368159204 1286.71896111117 1282.53081236412 0.614764034583699 0.671974067502877 1.10452566662636 1.10188780865719 0.0497512437810945 0.0497512437810945
"rep14" 1141.52864161004 1144.90211706169 0.757938685998383 0.76852592579839 0.806301640148796 0.806768439419316 0.154228855721393 0.144278606965174 1140.35360013411 1142.0593363685 0.761996157159127 0.770992401621655 0.803366709073275 0.803067925699826 0.164179104477612 0.159203980099502 1142.54846691237 1142.35639756714 0.757689300936191 0.77195862587369 0.802763375524747 0.801387971487092 0.154228855721393 0.174129353233831 1147.60688696299 1141.67761568345 0.708498371998654 0.769797130615333 0.811102634198431 0.809217851318105 0.149253731343284 0.169154228855721 1140.99570119043 1142.14436462173 0.715203434277937 0.776070931618766 0.807707875987395 0.802897694898715 0.139303482587065 0.159203980099502 1141.4346280094 1140.51791077472 0.711276274147468 0.771171139384999 0.80679515874958 0.802362406860755 0.149253731343284 0.159203980099502
"rep15" 1165.92851952449 1161.52577086585 0.63770325696007 0.651063632650067 0.902383655689053 0.902009578608664 0.104477611940299 0.104477611940299 1170.45186334136 1160.90901088572 0.639080791669314 0.651561575345287 0.900877882833796 0.900610116591104 0.0945273631840796 0.0995024875621891 1169.39842164553 1162.35395724405 0.638380415447781 0.652659508502439 0.900209606063313 0.899437865104603 0.0995024875621891 0.0995024875621891 1185.37520813487 1157.17554722866 0.592166970429578 0.654412022391422 0.904296100968175 0.90261629952587 0.0796019900497512 0.109452736318408 1185.58407730725 1159.86468035556 0.589329991534228 0.656990971811318 0.903547080062856 0.900180713368219 0.0845771144278607 0.0995024875621891 1185.78537803212 1159.99045742124 0.595746126141642 0.651965274765421 0.901552384095514 0.89980369927463 0.0845771144278607 0.0995024875621891
"rep16" 1283.67588115887 1282.52430074926 0.691442504489784 0.699330465038092 0.893950887210541 0.893876427165606 0.054726368159204 0.0597014925373134 1285.63028782702 1283.14953203249 0.701022594028672 0.696479784558671 0.892229078501113 0.892883895750877 0.054726368159204 0.0646766169154229 1282.73420477734 1280.48900559447 0.692721206293857 0.698318010107018 0.892197549391019 0.892124266430045 0.0597014925373134 0.0646766169154229 1285.70805336138 1283.19252504333 0.681820043907027 0.694892980597597 0.892559476823948 0.895382315035489 0.0497512437810945 0.0597014925373134 1286.98865122219 1281.48274408302 0.676164404655243 0.700283836931067 0.891464589423154 0.892783674037647 0.0497512437810945 0.054726368159204 1286.39910675326 1281.97078069656 0.674910165804363 0.698555592230101 0.890922388826824 0.892448970210159 0.054726368159204 0.0597014925373134
"rep17" 1201.5157699171 1197.03148241278 0.685537801348957 0.681275852601976 0.992268806969772 0.993230651080373 0.114427860696517 0.119402985074627 1201.22280896098 1200.25061147603 0.684319415020365 0.682921264823694 0.991139952773542 0.992001100371302 0.109452736318408 0.119402985074627 1201.01610489713 1198.1662760528 0.684762566072202 0.68465576006309 0.990530610513806 0.991179307190405 0.109452736318408 0.114427860696517 1204.09261277279 1254.62658841572 0.654031529405817 0.624770241259101 0.992942964135093 0.993726233600101 0.104477611940299 0.114427860696517 1207.95612165685 1201.46096191785 0.651326645375467 0.683458771342485 0.991571722978623 0.992373604389846 0.104477611940299 0.119402985074627 1203.30344994316 1198.72711843353 0.647589085309292 0.680618521138379 0.991348185161172 0.991568317161693 0.109452736318408 0.124378109452736
"rep18" 1173.10084630173 1176.26699247908 0.747503514260017 0.751573652523525 0.833295365221196 0.833317128029394 0.109452736318408 0.104477611940299 1175.75356425699 1173.59225960189 0.747105596618784 0.752918110797671 0.831741666958943 0.831555292525803 0.104477611940299 0.104477611940299 1172.70767387768 1175.9711175197 0.744832685111423 0.750089146927447 0.831169640521386 0.83080379916143 0.109452736318408 0.0995024875621891 1163.97636492838 1175.7310048712 0.730695690086227 0.751575082880724 0.834599204901458 0.833926693217541 0.104477611940299 0.104477611940299 1161.34581334163 1178.96654561326 0.730249829809339 0.749384329308434 0.832958714288786 0.832295298641491 0.114427860696517 0.0995024875621891 1162.36332191502 1176.07452145127 0.729597060938876 0.752119778882084 0.831810620322893 0.83080633529902 0.114427860696517 0.104477611940299
"rep19" 1163.99803617976 1164.9111697861 0.701292755014922 0.709301710270431 0.95831453919657 0.957966608624959 0.109452736318408 0.119402985074627 1164.57644006366 1164.24209763691 0.702102881511423 0.709239774756007 0.95669776261101 0.956284281644569 0.109452736318408 0.114427860696517 1163.17156499256 1165.31501583099 0.709172074594275 0.706701672330563 0.955077580880903 0.955877698785561 0.109452736318408 0.0995024875621891 1171.62898725397 1164.62335066901 0.662878641653239 0.707426960288002 0.959915832935588 0.958826290566817 0.114427860696517 0.104477611940299 1171.18289373835 1165.77727533812 0.667646983242397 0.709410447588178 0.957617655199689 0.956496582658192 0.114427860696517 0.114427860696517 1166.70418382495 1167.81521956425 0.671190351868644 0.708330163281196 0.956761638586095 0.95572741606699 0.114427860696517 0.104477611940299
"rep20" 1198.4298298425 1194.82983299557 0.661024294692697 0.663087939540865 0.950715823976152 0.951357551434917 0.054726368159204 0.0646766169154229 1194.96310209761 1194.93455176216 0.660588984151293 0.663198720797798 0.949457498758235 0.949880105022685 0.0597014925373134 0.0696517412935323 1199.84402675948 1193.35731409836 0.658641735336941 0.663271908923033 0.948931661235514 0.949143252230335 0.0597014925373134 0.0696517412935323 1211.78493305608 1195.76494990626 0.6173360207931 0.66038345085345 0.952219947525396 0.952989684402743 0.0497512437810945 0.0696517412935323 1214.09316867583 1194.84053862359 0.607414301333092 0.661677050558446 0.95169586790974 0.949933085547778 0.0447761194029851 0.0696517412935323 1212.2493321331 1196.61709357541 0.604058995997637 0.663590272430253 0.951520006411802 0.948976052098279 0.054726368159204 0.054726368159204
