"semnig1" "semnig2" "ridge1" "lasso1" "xtune1" "ebridge1"
"pmse53" 0.781649482384774 0.781669844310811 0.786232942861577 0.822084270269486 0.780734070242653 0.779856374202341
"pmse54" 0.743106114030031 0.742310903832237 0.754396891749899 0.77467421531917 0.747029075813407 0.755976493745447
"pmse55" 0.655343089821028 0.654791470068993 0.664826897229483 0.688418567266801 0.66512527581329 0.662299102510662
"pmse56" 0.925601536360399 0.925785867040745 0.887757302798772 0.924600302080845 0.891897874282726 0.898851554393847
"pmse57" 0.840329896664663 0.840046678352305 0.840673457458711 0.849510299936519 0.839108058376408 0.839702447527754
"pmse58" 0.699345594373776 0.699056894789378 0.711126428399831 0.72390936225396 0.69895515271614 0.709733534260108
"pmse59" 0.714398996411315 0.713807722741778 0.714155539587893 0.718235088642252 0.714101146191403 0.721355240485099
"pmse60" 0.805453060796276 0.804067321337579 0.793610235592798 0.833192906768142 0.795127071627989 0.809001125712019
"pmse61" 0.729625642691586 0.72854785033839 0.72845836494686 0.741793888574323 0.727703304061224 0.738338131707442
"pmse62" 1.03731426500509 1.03554002347037 0.980920526029061 0.997619047619048 0.989191280837174 0.989173465741463
"pmse63" 0.932234391371204 0.932309781566026 0.924043544304435 0.922581974454505 0.928535680074268 0.925670888986062
"pmse64" 0.932482098124221 0.93129325425038 0.912968560240292 0.973331432520609 0.927688811581772 0.924433611708906
"pmse65" 0.79862348282777 0.796690784333197 0.789894504017368 0.815453656652662 0.781299438752017 0.803872277345725
"pmse66" 0.894437838264918 0.893349056164766 0.888789565891251 0.948803094969373 0.941251353363333 0.894704250729015
"pmse67" 0.9884752917619 0.988773995268709 0.970210476675663 0.972131015281197 0.970207865582061 0.980937408195755
"pmse68" 0.86663920521827 0.865803362802285 0.862113592911592 0.87450518820094 0.853691466601015 0.861461916924858
"pmse69" 0.913786433428865 0.91402684120724 0.909397239133902 0.914119975156618 0.912942209953174 0.908537512685646
"pmse70" 0.940735205025079 0.940772212918082 0.922664176151215 0.895964550546739 0.917102938520964 0.940299741538691
"pmse71" 0.924064461693521 0.920255490964583 0.908431802920442 0.863510195933644 0.908221848823051 0.936481453026489
"pmse72" 0.716573759692198 0.715808926038308 0.702971541476231 0.719502170714362 0.696601945259025 0.710637865558215
"pmse73" 0.934658035373061 0.934004348498258 0.908887831547689 0.945305063894752 0.915759100469383 0.920660978508643
"pmse74" 0.759861528519028 0.759113725728259 0.749156388946188 0.752935537257424 0.748339164111478 0.756237512430331
"pmse75" 0.844606357258384 0.844167125883224 0.853457885453824 0.89871075092789 0.840284577808118 0.851569673698163
"pmse76" 0.813584147305916 0.813916269079638 0.793508149160755 0.811967856984234 0.803954697686591 0.795429318905767
"pmse77" 0.961938428423475 0.961379337934254 0.936574897797612 0.944561117459464 0.933186095364546 0.933796402297983
"pmse78" 0.783822967371085 0.783289642886601 0.775457202042928 0.843823826900729 0.778493385199087 0.78244886479432
"pmse79" 0.803894037091149 0.802462974926754 0.832326745670262 0.864890050937313 0.821198182020544 0.831243028274769
"pmse80" 0.770249975768295 0.770364436251648 0.766767432065129 0.785209437009481 0.77094421239662 0.764934301571883
"pmse81" 0.950479473147676 0.950111856646701 0.933862335308012 0.93983149329685 0.929160293627464 0.930056490791912
"pmse82" 0.658788182957736 0.658895744575668 0.681970572487026 0.683194132832316 0.662182517835353 0.674614476238551
"pmse83" 0.951564278156389 0.951417180997852 0.963657535940376 0.974522643129516 0.960041587526417 0.958043245111327
"pmse84" 0.819943817836172 0.820385688458158 0.822659133831105 0.859309034847615 0.815932575821994 0.81886228337986
"pmse85" 0.829467814599538 0.827243668788853 0.833681679464446 0.861407848133324 0.831201501453997 0.842388953110276
"pmse86" 0.697380336062779 0.697285203880205 0.686065697034052 0.696086242977606 0.68689970885969 0.685539418033315
"pmse87" 0.932027105763992 0.930278677480206 0.929250580786225 0.944983558779261 0.931353707845747 0.938152884064406
"pmse88" 0.681687596087895 0.680757648600562 0.685263893495474 0.704219149425561 0.673238847432338 0.692311020430403
"pmse89" 0.860075041451352 0.858887281428749 0.854166705465696 0.862261881081341 0.852494617204296 0.858593083897
"pmse90" 1.01451846987938 1.0133526812151 0.986879098667647 1.04156962206248 1.00043375618402 1.01290687529732
"pmse91" 1.00236892959796 1.00209041370136 0.972350970263855 0.983969752076923 1.0144307413599 0.97305180343541
"pmse92" 0.825043128620905 0.824138753415363 0.828009678886353 0.864136151792043 0.824820141587065 0.836094282103665
"pmse93" 0.885431788112733 0.886848071446183 0.885438848646126 0.931381887393572 0.894235877377765 0.883513446279437
"pmse94" 0.860985154198901 0.860848794104516 0.837051107893304 0.869082576085626 0.85547597967886 0.848796526737169
"pmse95" 0.608635364139678 0.60808543116877 0.596733280704111 0.605608529322951 0.591396034911446 0.604142556620859
"pmse96" 0.83169456940091 0.831421986379674 0.830469153236257 0.842023386315145 0.830653124791416 0.833585786193866
"pmse97" 0.769329109021615 0.768824198047693 0.745020026444902 0.755948354817709 0.745298562216126 0.751786360344796
"pmse98" 0.820407130483544 0.819187404419668 0.84908360294082 0.880196797481668 0.84748717017365 0.848700830411437
"pmse99" 0.955532487652993 0.953511913110548 0.934291971915673 1.05095998214581 0.936269626034211 0.960002670541012
"pmse100" 0.787838800128157 0.787860908758674 0.785622100550841 0.812434088899684 0.784435351589485 0.783602490829114
"pmse101" 0.736443348852716 0.735609698944028 0.754695738773106 0.781215789388826 0.783184325628293 0.751916963565948
"pmse102" 0.921963724078799 0.922032019102364 0.920030559598915 0.921882880473025 0.915364812132305 0.914938650643167
"pmse103" 0.933105394068796 0.931688782158244 0.934480555823291 0.950789265625587 0.935068860251448 0.930755067192642
"pmse104" 0.867628182307751 0.86813000615145 0.858617427787997 0.861388124239828 0.857191457621116 0.858016341823959
"pmse105" 0.951742439972473 0.950666818438284 0.944217443136241 0.95398071803297 0.940952028694192 0.946479932757001
"pmse106" 0.776554804118449 0.776129865424845 0.756721484226882 0.755028062223519 0.762100305519846 0.761861224245498
