"NIG1" "NIG2" "NIG3" "NIG4" "NIG5" "lasso" "ridge" "null"
"brankdist" 1879.71859596058 1847.74078268571 1847.14428239918 1848.01136360143 2074.17019552398 1508.50604904322 1755.86218137985 NA
"brankdist" 1821.34071496796 1823.56957640777 1821.75300191876 1829.04619952586 2036.91826051022 1408.35045354486 1683.53437743338 NA
"brankdist" 1839.24006045975 1833.33575757415 1832.35749786989 1826.04928739615 2015.59023613432 1429.71955291938 1696.93724103162 NA
"brankdist" 1876.43385175177 1845.67115164105 1844.28631182905 1848.00162337591 2074.26854577704 1423.09293442136 1758.14220130227 NA
"brankdist" 1778.37397641778 1755.02706531837 1753.70465016205 1756.8187157473 1999.78148806313 1433.06315283033 1690.86605028311 NA
"brankdist" 1918.84288048813 1885.19760237488 1885.18381066675 1892.39266538422 2027.21187841824 1439.00955521497 1804.39740633819 NA
"brankdist" 1904.3718124358 1869.58712019526 1867.01740752463 1862.77803293898 2143.93470049813 1405.75246754185 1776.27137566308 NA
"brankdist" 1786.45794800773 1784.75040271742 1783.22909352668 1780.92953257562 1969.63397614887 1408.50328363125 1672.64640614805 NA
"brankdist" 1800.14499416019 1777.63663328589 1776.57704589472 1781.6890862325 1952.03944632274 1485.11935547282 1704.35735689438 NA
"brankdist" 1936.41576114222 1893.63301618872 1893.96620877987 1900.93871547717 2075.90943925789 1522.77033724722 1788.75766944547 NA
"brankdist" 1926.69976903512 1919.17534373491 1920.45932005862 1915.90239834914 2057.8065992702 1525.82551427088 1811.71079369749 NA
"brankdist" 1922.38965873207 1911.71232145425 1912.82409018707 1914.99033940122 2173.41114380137 1517.15671570211 1791.74440141444 NA
"brankdist" 1887.81566896771 1860.87398821092 1861.92373635442 1870.6031112986 2025.73838389857 1515.11996224721 1738.97096007955 NA
"brankdist" 1989.98894469291 1971.01699637522 1972.94956853945 1984.12701206349 2151.05648461401 1553.86743321301 1882.09510918019 NA
"brankdist" 2006.24724298876 1963.44747828914 1962.01274205852 1963.42914310652 2013.57145390969 1574.3776548211 1862.31468876772 NA
"brankdist" 1826.82949395941 1823.05348248481 1821.94127237955 1822.01097691534 2058.10543947583 1455.12662679232 1700.90681696559 NA
"brankdist" 1935.04315197362 1919.6968510679 1920.63947684098 1929.54968839882 2062.93916536577 1631.74982763903 1837.15813146283 NA
"brankdist" 1857.48324353142 1848.69629739446 1847.65851823328 1843.86062379997 2020.55388445842 1418.60829688819 1723.84976143514 NA
"brankdist" 1940.23246029954 1933.70887157297 1931.62677554439 1935.78614521336 2042.60177225028 1466.10402086619 1800.1155518466 NA
"brankdist" 1875.51646220448 1868.3484685679 1866.57761692355 1879.00505587399 2045.67397206886 1352.4616445578 1745.71017067553 NA
"brankdist" 1956.04396678602 1950.02974336291 1949.25011222265 1956.73094726894 2035.57854184013 1441.3552650197 1830.84406763656 NA
"brankdist" 1948.04825402247 1933.69852872675 1931.62159855392 1931.91355914285 2101.52706382763 1415.59139584839 1839.3547781763 NA
"brankdist" 1846.29304282933 1846.63044489145 1845.17912409609 1836.85709841566 2029.20378473923 1416.5846250754 1717.9918509702 NA
"brankdist" 1843.44026211863 1844.18816827351 1842.67197297837 1849.75944381966 2064.92760163644 1512.74964881834 1764.69997449991 NA
"brankdist" 1901.19962129178 1904.50466001005 1903.88917744705 1898.0958879888 2080.10432430684 1437.22632177399 1772.83445363632 NA
"brankdist" 1841.76980103378 1835.20080645144 1834.72722768263 1844.36493135171 1989.86029660376 1396.44530863188 1721.52200102119 NA
"brankdist" 1974.44675795525 1955.7218616153 1957.8575024756 1953.81165929575 2051.39269765689 1519.19518166692 1818.06050504377 NA
"brankdist" 1931.22189299935 1919.51712677955 1918.4498950976 1915.96085555003 2079.28256857985 1454.15473729586 1799.26151517782 NA
"brankdist" 1845.91115712539 1849.57130168047 1848.94077785093 1842.76205734761 2132.60169745783 1465.68874594847 1732.2528683769 NA
"brankdist" 1824.29931754633 1824.83369105242 1824.16501446552 1831.29462402968 2086.61831679874 1497.142945747 1721.36167030639 NA
"brankdist" 1864.74395025162 1864.82117105099 1863.94420517353 1868.15845152385 2132.64858802382 1456.44739005568 1739.61834894899 NA
"brankdist" 1936.6925414221 1910.38896562977 1911.43244714533 1919.03777972191 2129.35154448485 1475.73252996605 1836.5647279636 NA
"brankdist" 1980.19190989156 1964.43834212225 1962.92740568774 1957.78803755667 2226.68408176822 1453.34699917122 1834.7702853491 NA
"brankdist" 1824.54816324481 1831.27114322265 1829.79998906984 1828.76461033125 1963.932789074 1436.6285184417 1692.89160905239 NA
"brankdist" 1937.2883110162 1935.42036777543 1936.33209961515 1941.55247160616 2134.96604188451 1497.52479111366 1831.02703420785 NA
"brankdist" 1981.23446366148 1943.47317964514 1944.28290122605 1952.40313460105 2053.20383790797 1437.14613035697 1848.77743387353 NA
