"set1.cram.nig" "set1.cram.studentst" "set1.cram.nigig" "set1.corbest.nig" "set1.corbest.studentst" "set1.corbest.nigig" "set1.msebest.nig" "set1.msebest.studentst" "set1.msebest.nigig" "set1.cover.nig" "set1.cover.studentst" "set1.cover.nigig" "set2.cram.nig" "set2.cram.studentst" "set2.cram.nigig" "set2.corbest.nig" "set2.corbest.studentst" "set2.corbest.nigig" "set2.msebest.nig" "set2.msebest.studentst" "set2.msebest.nigig" "set2.cover.nig" "set2.cover.studentst" "set2.cover.nigig" "set3.cram.nig" "set3.cram.studentst" "set3.cram.nigig" "set3.corbest.nig" "set3.corbest.studentst" "set3.corbest.nigig" "set3.msebest.nig" "set3.msebest.studentst" "set3.msebest.nigig" "set3.cover.nig" "set3.cover.studentst" "set3.cover.nigig" "set4.cram.nig" "set4.cram.studentst" "set4.cram.nigig" "set4.corbest.nig" "set4.corbest.studentst" "set4.corbest.nigig" "set4.msebest.nig" "set4.msebest.studentst" "set4.msebest.nigig" "set4.cover.nig" "set4.cover.studentst" "set4.cover.nigig" "set5.cram.nig" "set5.cram.studentst" "set5.cram.nigig" "set5.corbest.nig" "set5.corbest.studentst" "set5.corbest.nigig" "set5.msebest.nig" "set5.msebest.studentst" "set5.msebest.nigig" "set5.cover.nig" "set5.cover.studentst" "set5.cover.nigig" "set6.cram.nig" "set6.cram.studentst" "set6.cram.nigig" "set6.corbest.nig" "set6.corbest.studentst" "set6.corbest.nigig" "set6.msebest.nig" "set6.msebest.studentst" "set6.msebest.nigig" "set6.cover.nig" "set6.cover.studentst" "set6.cover.nigig"
"rep11" 18.397081124303 23.4816369148065 18.9982383658802 0.702753186761582 0.698864293267252 0.704176077223085 0.574716060785917 0.581185835824361 0.572411564934593 0.950248756218905 0.935323383084577 0.955223880597015 14.4087317921953 29.028404895282 15.5616585766789 0.707599210483108 0.695705747239117 0.706910219830576 0.566724652879659 0.585642860525701 0.567830795964942 0.945273631840796 0.930348258706468 0.940298507462687 15.0745784683468 38.1521683228505 15.0729512311463 0.704902645179095 0.688645264516204 0.704870024550315 0.571056340056587 0.597141631003827 0.571109470960497 0.935323383084577 0.945273631840796 0.945273631840796 23.9618667818138 191.75114242605 113.452310069918 0.703769358721156 0.639415568681356 0.712187700645921 0.574151566138519 0.672297029656562 0.559623287875175 0.945273631840796 0.925373134328358 0.940298507462687 14.7946546546422 71.8420797570696 15.3692337268287 0.706251257521545 0.682576915101644 0.708480444954473 0.568892217504378 0.606732033248729 0.565316427774533 0.940298507462687 0.940298507462687 0.945273631840796 16.3755590131465 75.1787764145599 17.8986204360503 0.705257708807531 0.682215873468844 0.702079517864799 0.570565113164407 0.606892129961188 0.575576480058571 0.935323383084577 0.935323383084577 0.935323383084577
"rep12" 34.4505951476881 43.3341993987097 35.0049618497805 0.72765670107133 0.717412475009878 0.71924827536442 0.508960390738848 0.525196577409382 0.521334498804378 0.980099502487562 0.965174129353234 0.965174129353234 37.8161652546494 49.2054391301879 36.2955568304191 0.712996074322019 0.719023310061504 0.724937461088089 0.530536041189234 0.521609053300973 0.512171567971571 0.955223880597015 0.980099502487562 0.970149253731343 32.9401554917639 46.765728972542 29.7448486574798 0.718507086238458 0.718838042265363 0.724471137477812 0.522027963248356 0.52151541983028 0.512749672638733 0.965174129353234 0.985074626865672 0.960199004975124 35.8779770014563 117.102935548101 38.2226510746344 0.720270986545658 0.707704539192963 0.717836384237354 0.520392551575336 0.548337361008122 0.523996751428942 0.970149253731343 0.980099502487562 0.950248756218905 42.83438052616 119.294939618179 32.6565751493368 0.715439402291389 0.703612071342804 0.719677377608145 0.527312299360824 0.553223332150216 0.520372131047767 0.955223880597015 0.980099502487562 0.965174129353234 33.7700796821161 86.7762194646113 34.4064505568817 0.720717756334012 0.70914604840049 0.723509575231712 0.518640697974251 0.539016620214254 0.514346943004996 0.970149253731343 0.965174129353234 0.975124378109453
"rep13" 53.1735026758855 33.458864437899 24.3188511326493 0.682721145496918 0.658263926952003 0.674053534413222 0.613432959864829 0.650751109915349 0.626710988187554 0.935323383084577 0.940298507462687 0.945273631840796 26.9454597551868 33.431563569295 792.100770135332 0.674155827417521 0.661787825502344 0.527373109946621 0.626415592233899 0.64548693541028 0.895433397312077 0.940298507462687 0.935323383084577 0.90547263681592 23.3419595324929 42.4334939468491 25.354554587115 0.670402217143428 0.661069118945378 0.674748176239687 0.632316866367713 0.646840563331718 0.62555371784209 0.935323383084577 0.950248756218905 0.940298507462687 24.4465274896064 73.4948015618762 26.7194435917841 0.668845594493496 0.656176165025198 0.674719584988551 0.634799316777931 0.654180824170939 0.625995007229136 0.935323383084577 0.935323383084577 0.940298507462687 28.8272328581831 92.1784290229497 24.2110482001552 0.666321377631867 0.651753575594002 0.669352743220716 0.638483577598168 0.660578025292093 0.633832682519537 0.935323383084577 0.935323383084577 0.940298507462687 32.7041136784914 69.1880275340804 28.8735546744658 0.666508616089991 0.64619568033908 0.671270321332789 0.638215069776875 0.668882634268528 0.630950027940054 0.950248756218905 0.950248756218905 0.935323383084577
"rep14" 18.0076834311929 27.3242454957141 18.7205618509489 0.77294495821199 0.76614361599629 0.772052800664145 0.364096638316923 0.374084281908238 0.36524951940109 0.980099502487562 0.980099502487562 0.980099502487562 12.8102940431964 26.8252500318957 14.4333256223881 0.770502812997379 0.758918353409477 0.771463244535947 0.366965817044522 0.383012074489816 0.365653033325491 0.980099502487562 0.980099502487562 0.985074626865672 15.17104386489 33.2258275032928 14.1642840367884 0.771917759021855 0.754878874232186 0.772667653890522 0.365309250515038 0.389294950846514 0.364153308572342 0.985074626865672 0.980099502487562 0.985074626865672 353.69710676511 305.190242633074 22.3758042381181 0.74230837216174 0.739040216690675 0.770197835743069 0.405579540614127 0.449832763677593 0.367915027054394 0.950248756218905 0.970149253731343 0.980099502487562 18.8229935187891 207.543994891712 17.8141322638434 0.772145525329402 0.739506619511151 0.773305769142841 0.365170653941752 0.430499976677735 0.363140554410874 0.980099502487562 0.975124378109453 0.985074626865672 14.03970894525 176.154957468264 15.5336528759151 0.771811301599101 0.737850919851457 0.771732680817223 0.365266819041563 0.424897418715138 0.365336457795186 0.980099502487562 0.970149253731343 0.985074626865672
"rep15" 19.1951284636209 30.6232923613052 19.0395878547567 0.656426991663187 0.654204642332168 0.657556791586617 0.559271793431471 0.562339111911187 0.557788679251195 0.91044776119403 0.90547263681592 0.915422885572139 14.3170430000183 51.9400791011599 14.7691081578625 0.65579597570949 0.642062735265548 0.659782910993892 0.559878714937185 0.577674985575727 0.554734684431454 0.920398009950249 0.90547263681592 0.915422885572139 15.8064050290432 72.8116399299905 15.6045173456634 0.661248174299525 0.641794023604767 0.657931462862216 0.552824940643469 0.578643830568712 0.557152690209122 0.935323383084577 0.900497512437811 0.920398009950249 22.8341392051941 114.326368082662 19.2433133367613 0.656190946001577 0.623669971006961 0.659001139211396 0.560473949421762 0.600348090279308 0.556147773665316 0.91044776119403 0.875621890547264 0.91044776119403 17.7749385765615 108.783494068211 13.7652067451608 0.658694467449804 0.624552377523573 0.659103964273017 0.556720432169464 0.599386441058931 0.55563164808698 0.915422885572139 0.885572139303483 0.935323383084577 16.9499330096863 139.321628201278 16.7372482327357 0.656928318961031 0.619042350951207 0.657379302548007 0.558425318654356 0.608209848985505 0.557865536592347 0.925373134328358 0.890547263681592 0.915422885572139
"rep16" 9.33908561511165 20.9277064651787 9.2198497722622 0.701050702347478 0.693550652476757 0.700507915230271 0.476706118680618 0.486759931055984 0.477490197304688 0.950248756218905 0.960199004975124 0.945273631840796 10.8749620009383 23.1521599506292 7.10008871069956 0.696662134051699 0.698892539214202 0.700040730455745 0.482444384740927 0.479474980332193 0.477998366322878 0.945273631840796 0.950248756218905 0.940298507462687 7.78443196398593 35.1019776445178 7.9663112240338 0.701169736853497 0.695561102204813 0.696126961410427 0.476610222090995 0.484176043489626 0.483330992578684 0.950248756218905 0.940298507462687 0.940298507462687 278.797100537207 83.8447048240059 10.9752399494978 0.65908171185971 0.69272795342464 0.701420341661392 0.534659168218039 0.49124344761882 0.476499289156118 0.915422885572139 0.955223880597015 0.950248756218905 7.67284200910767 75.4296611169667 7.67372707794944 0.698690966588695 0.69446353275287 0.698665684470225 0.47976298607649 0.486025620174914 0.479773270829936 0.950248756218905 0.945273631840796 0.945273631840796 1007.55826007136 71.7851121630022 7.31247884562958 0.639808629436846 0.690923527661173 0.698579172181531 0.587599381075153 0.489885393057925 0.480082024674855 0.885572139303483 0.940298507462687 0.955223880597015
"rep17" 65.9819226429708 73.4773660942647 69.9945962351682 0.683455888965938 0.682806378663014 0.680701462568967 0.570258637132114 0.571405988014717 0.57427389252421 0.945273631840796 0.945273631840796 0.945273631840796 69.6834102118533 78.669913584914 141.648539132948 0.680707983229326 0.679258521176275 0.656772851871641 0.5742874247001 0.5763785378886 0.610192610059004 0.950248756218905 0.950248756218905 0.940298507462687 71.1019951076386 87.7713322360285 70.891310474896 0.681865856386836 0.679587453148005 0.680190112654151 0.57268028272623 0.576109966891364 0.575183291804607 0.940298507462687 0.940298507462687 0.945273631840796 148.47611537883 327.670570678222 70.9482709830627 0.676348271922425 0.661499433166165 0.68493209515954 0.580593043505383 0.602940039234544 0.568116321980884 0.940298507462687 0.90547263681592 0.950248756218905 82.1976103945028 957.113108503356 79.0868152029431 0.680670284069651 0.553893264743563 0.677390100896909 0.574301338075238 0.792716195298428 0.579136693850337 0.940298507462687 0.875621890547264 0.940298507462687 68.3298000727985 126.16810102393 71.4144549513431 0.681368239996469 0.671240792533653 0.6798616610447 0.573417136353169 0.588148315904147 0.575618188023462 0.945273631840796 0.940298507462687 0.950248756218905
"rep18" 20.9713620074385 28.0882748800262 19.6389312378282 0.747084206017888 0.745889907861177 0.74913382720324 0.405894394181117 0.407906327526465 0.403003483303987 0.980099502487562 0.985074626865672 0.980099502487562 15.5529323077919 24.7646412958171 15.9845124616043 0.748822277812725 0.745945419514663 0.748809470583894 0.403447237135782 0.407291921488455 0.403421908003644 0.975124378109453 0.985074626865672 0.980099502487562 16.7764783898092 27.1219795547273 17.0987976913879 0.749116695901689 0.741063421987408 0.750546958954689 0.403196765625444 0.41435278706299 0.401233103494648 0.985074626865672 0.980099502487562 0.975124378109453 365.905538995077 74.9086775498489 22.7910605180552 0.718677593452723 0.738428970959207 0.75337733039328 0.44559190878652 0.421373506307292 0.397598371586137 0.980099502487562 0.980099502487562 0.975124378109453 24.3593014680745 73.5970160505204 19.869850813925 0.746596849025086 0.738374970858501 0.742960608481078 0.406490206907797 0.420689024403939 0.41144242393191 0.985074626865672 0.975124378109453 0.980099502487562 1067.4322089686 58.3023049968507 17.6125863531005 0.633694222828808 0.742551529655276 0.749499751450572 0.604070266823987 0.413675634656389 0.402652584085728 0.950248756218905 0.980099502487562 0.985074626865672
"rep19" 14.8140765423221 28.9642288517231 14.0751752294666 0.704590700595729 0.704850451226735 0.706126794179609 0.528621632766596 0.528545218290297 0.526399996855993 0.955223880597015 0.955223880597015 0.960199004975124 14.1839373586685 28.6735309415032 12.1094450583619 0.705466835582187 0.702438244390905 0.706871865282019 0.527271923856976 0.531745197294453 0.525190348914876 0.960199004975124 0.955223880597015 0.955223880597015 14.7180466168573 36.5040646695212 15.6219735526575 0.706627020575709 0.701085770873502 0.707092033087641 0.525624515067565 0.5339084022835 0.524933930285481 0.960199004975124 0.965174129353234 0.960199004975124 17.6380967132261 103.991566098817 14.7610967599743 0.706545584150908 0.686277268855676 0.706085880790464 0.526095634829375 0.555843924689731 0.52642732569235 0.950248756218905 0.940298507462687 0.965174129353234 13.043353492002 76.2373837242922 30.1755214572834 0.707773686707636 0.696240310433343 0.699994216315552 0.523858901587887 0.542354994442462 0.535433654038175 0.965174129353234 0.955223880597015 0.960199004975124 79.5377563165434 88.4273371823454 12.5223569363579 0.701586086354082 0.699695287194406 0.704827107444677 0.533379373577342 0.535930543653237 0.528267740510696 0.950248756218905 0.950248756218905 0.955223880597015
"rep20" 11.3303084576892 22.2250980436343 11.2030773631298 0.657286918368566 0.662827176406117 0.661200209837718 0.583652895145566 0.577135023480696 0.578314542086533 0.920398009950249 0.925373134328358 0.930348258706468 8.63837694401504 38.4582177232584 9.00308814791284 0.65769912879191 0.659931207093217 0.662812523635493 0.582514114033881 0.579590396652824 0.575728155403032 0.915422885572139 0.915422885572139 0.915422885572139 9.08831147094658 53.0834368970736 8.81649579833077 0.660372516021635 0.658637193904602 0.658164008907299 0.578821221426608 0.581144005651064 0.58178717557721 0.930348258706468 0.90547263681592 0.915422885572139 56.1510808546752 99.5165404108067 11.2881817306083 0.66829574226524 0.647086256755796 0.656005290024911 0.569349873840956 0.599137868436056 0.585153515366733 0.91044776119403 0.90547263681592 0.90547263681592 12.2076648063572 104.432899671467 8.66715753202607 0.662364488607262 0.647048108166872 0.658131052858134 0.577201442698167 0.597757848593135 0.582052582631431 0.90547263681592 0.91044776119403 0.920398009950249 16.6416622961689 110.534582574072 8.91365137037736 0.654748140566499 0.641052857085898 0.660339860616864 0.586383451870859 0.60465432800471 0.578863649956896 0.90547263681592 0.900497512437811 0.920398009950249
