"NIGd-" "NIGd" "lasso" "ridge" "null"
"emse" 0.0253033595473671 0.0252692741967866 0.0298756183617745 0.0534436107805828 0.44918977591697
"emse" 0.0216746799687561 0.0216896065666414 0.0255676940549374 0.049403384819212 0.419486668512622
"emse" 0.0201290490148367 0.0201166089779406 0.0229664521507178 0.0386192071445781 0.32846267578111
"emse" 0.0248884563815394 0.0248879457005209 0.0287988182178087 0.0490366131359088 0.441727772119021
"emse" 0.0243974615554339 0.0243973934836988 0.0276172481260933 0.0525521605707967 0.425049373784359
"emse" 0.0248872367898635 0.0248815015231209 0.0283936254638746 0.0504394393984003 0.444923291415609
"emse" 0.0265287976500124 0.026499106989482 0.0316080819542853 0.0626747631266267 0.542646438396468
"emse" 0.027397439154551 0.0274354387888736 0.0327134729334159 0.0636027807033233 0.532257757499052
"emsel" 0.0217978526181302 0.0218093240490023 0.0248951246702863 0.0398817371022352 0.282340619175127
"emsel" 0.0226290308780847 0.0226567140220301 0.0262066570568321 0.0438808303190002 0.342556800634766
"emsel" 0.0194036384991709 0.019404741969517 0.0221981702404017 0.035779286187303 0.256679293626469
"emsel" 0.0233349118584511 0.0233223832055824 0.0266535757750278 0.0446559341654149 0.325076047503635
"emsel" 0.0230213989330671 0.022987271626755 0.0268566606500668 0.0438883117408043 0.304400848641532
"emsel" 0.0241387231640439 0.0241780673656762 0.0275672965448159 0.0431193998649337 0.298726725988911
"emsel" 0.0205837094322768 0.020581793826643 0.0260821601588848 0.037959254269965 0.294542459881969
"emsel" 0.0258262348581537 0.0257833883241813 0.0299725768996184 0.0477091271721466 0.304835849353095
"emsel" 0.0241168705633915 0.0241301892895135 0.0290889809767842 0.0461035184121133 0.321552751550189
"emsel" 0.0195429765097763 0.0195569678399861 0.0226883154838342 0.0350420694136091 0.227933503916294
"emsel" 0.0211917489686862 0.0212147186473192 0.0259019058324491 0.0398182783899362 0.266738662606303
"emsel" 0.0201212264273013 0.0200832750188402 0.0252229744662425 0.0418420805790566 0.313295201650891
"emsel" 0.020162810036002 0.0201810047314425 0.0238224655950934 0.0388802871688653 0.279871235366237
"emsel" 0.0240210017202488 0.0240023947869146 0.0307290744535075 0.0449119194858243 0.301768414135759
