"set1.cram.nig.advi" "set1.cram.enig.advi" "set1.cram.dnig.advi" "set1.cram.enig.vb" "set1.corbest.nig.advi" "set1.corbest.enig.advi" "set1.corbest.dnig.advi" "set1.corbest.enig.vb" "set1.msebest.nig.advi" "set1.msebest.enig.advi" "set1.msebest.dnig.advi" "set1.msebest.enig.vb" "set2.cram.nig.advi" "set2.cram.enig.advi" "set2.cram.dnig.advi" "set2.cram.enig.vb" "set2.corbest.nig.advi" "set2.corbest.enig.advi" "set2.corbest.dnig.advi" "set2.corbest.enig.vb" "set2.msebest.nig.advi" "set2.msebest.enig.advi" "set2.msebest.dnig.advi" "set2.msebest.enig.vb" "set3.cram.nig.advi" "set3.cram.enig.advi" "set3.cram.dnig.advi" "set3.cram.enig.vb" "set3.corbest.nig.advi" "set3.corbest.enig.advi" "set3.corbest.dnig.advi" "set3.corbest.enig.vb" "set3.msebest.nig.advi" "set3.msebest.enig.advi" "set3.msebest.dnig.advi" "set3.msebest.enig.vb" "set4.cram.nig.advi" "set4.cram.enig.advi" "set4.cram.dnig.advi" "set4.cram.enig.vb" "set4.corbest.nig.advi" "set4.corbest.enig.advi" "set4.corbest.dnig.advi" "set4.corbest.enig.vb" "set4.msebest.nig.advi" "set4.msebest.enig.advi" "set4.msebest.dnig.advi" "set4.msebest.enig.vb" "set5.cram.nig.advi" "set5.cram.enig.advi" "set5.cram.dnig.advi" "set5.cram.enig.vb" "set5.corbest.nig.advi" "set5.corbest.enig.advi" "set5.corbest.dnig.advi" "set5.corbest.enig.vb" "set5.msebest.nig.advi" "set5.msebest.enig.advi" "set5.msebest.dnig.advi" "set5.msebest.enig.vb" "set6.cram.nig.advi" "set6.cram.enig.advi" "set6.cram.dnig.advi" "set6.cram.enig.vb" "set6.corbest.nig.advi" "set6.corbest.enig.advi" "set6.corbest.dnig.advi" "set6.corbest.enig.vb" "set6.msebest.nig.advi" "set6.msebest.enig.advi" "set6.msebest.dnig.advi" "set6.msebest.enig.vb"
"rep21" NA NA NA 1.81181013381915 NA NA NA 0.994310894124307 NA NA NA 3.05664878105445e-05 NA NA NA 2.07822995872659 NA NA NA 0.993914397567145 NA NA NA 3.38691519829397e-05 NA NA NA 1.72618544514658 NA NA NA 0.995149123212953 NA NA NA 2.74947868191075e-05 NA NA NA 16.7404343346768 NA NA NA 0.941704834400776 NA NA NA 0.000342727414100586 NA NA NA 15.7030586109838 NA NA NA 0.946037385340342 NA NA NA 0.000323074637152993 NA NA NA 16.8657033855117 NA NA NA 0.943451505269946 NA NA NA 0.000346704958715302
"rep22" NA NA NA 2.66717576749947 NA NA NA 0.99268320600449 NA NA NA 5.57987976303154e-05 NA NA NA 2.86012478314757 NA NA NA 0.992333095498218 NA NA NA 6.06618044290344e-05 NA NA NA 2.52986002378391 NA NA NA 0.993270910254002 NA NA NA 5.40479526909873e-05 NA NA NA 19.9469551871387 NA NA NA 0.940573300833201 NA NA NA 0.00049306010693829 NA NA NA 19.2382509175969 NA NA NA 0.943884413690463 NA NA NA 0.000477693391810887 NA NA NA 19.2415917510034 NA NA NA 0.944296614102875 NA NA NA 0.000482022556753236
"rep23" NA NA NA 3.0307984634303 NA NA NA 0.99148105893927 NA NA NA 6.46604939759175e-05 NA NA NA 3.92051237606056 NA NA NA 0.988935505097295 NA NA NA 8.61341889794514e-05 NA NA NA 3.37886357558209 NA NA NA 0.990708396293412 NA NA NA 7.33035549437327e-05 NA NA NA 18.8272729895791 NA NA NA 0.945752456531727 NA NA NA 0.000451142747635151 NA NA NA 19.9961810283826 NA NA NA 0.942927629800987 NA NA NA 0.000480593881327369 NA NA NA 19.3222816248483 NA NA NA 0.944815990449977 NA NA NA 0.000468313713656779
"rep24" NA NA NA 2.24412691302994 NA NA NA 0.99496305572381 NA NA NA 4.52911563489207e-05 NA NA NA 1.86493184374714 NA NA NA 0.995964468707209 NA NA NA 3.72588307896484e-05 NA NA NA 2.39293343455388 NA NA NA 0.994900120125774 NA NA NA 4.79403968215826e-05 NA NA NA 13.1004907975308 NA NA NA 0.964892098156938 NA NA NA 0.00033564143976372 NA NA NA 11.2234929445056 NA NA NA 0.970382815236457 NA NA NA 0.000286147894528983 NA NA NA 12.1341870712024 NA NA NA 0.96830738863593 NA NA NA 0.000311114502851188
"rep25" NA NA NA 1.22664517188423 NA NA NA 0.996410156115756 NA NA NA 1.49162509550674e-05 NA NA NA 1.26463587244083 NA NA NA 0.996198050770146 NA NA NA 1.62635964096851e-05 NA NA NA 1.3877096076903 NA NA NA 0.995971187531161 NA NA NA 1.74767581595333e-05 NA NA NA 8.52681824604123 NA NA NA 0.96676232045297 NA NA NA 0.000150406017553326 NA NA NA 8.20373820471634 NA NA NA 0.967837057749835 NA NA NA 0.000144723580259005 NA NA NA 8.0738503258245 NA NA NA 0.968528581303212 NA NA NA 0.000142351082604146
"rep26" NA NA NA 2.60050352081009 NA NA NA 0.993880520646235 NA NA NA 6.36912215323703e-05 NA NA NA 3.01325872385971 NA NA NA 0.992783346785354 NA NA NA 7.7426527386921e-05 NA NA NA 3.08906991383118 NA NA NA 0.992839667959716 NA NA NA 7.83891532397779e-05 NA NA NA 26.8090630097976 NA NA NA 0.933090168857387 NA NA NA 0.000773224205520131 NA NA NA 29.0655770014386 NA NA NA 0.929296103161856 NA NA NA 0.000842113947823157 NA NA NA 29.9359812628258 NA NA NA 0.928495736552277 NA NA NA 0.000866906495247791
"rep27" NA NA NA 1.53428954805024 NA NA NA 0.99464259294115 NA NA NA 2.29304969898876e-05 NA NA NA 1.44242243291365 NA NA NA 0.995200438249208 NA NA NA 2.10678818474805e-05 NA NA NA 1.43120389396811 NA NA NA 0.995370544532338 NA NA NA 2.05992311930422e-05 NA NA NA 10.4600068487347 NA NA NA 0.958188475514955 NA NA NA 0.000193797620148725 NA NA NA 10.9317587333358 NA NA NA 0.957142383305794 NA NA NA 0.000200400289415076 NA NA NA 9.31137815090871 NA NA NA 0.963537663609383 NA NA NA 0.000170739436814426
"rep28" NA NA NA 1.45030883059327 NA NA NA 0.991622531210938 NA NA NA 1.38969830197333e-05 NA NA NA 1.48564497703926 NA NA NA 0.991680739438996 NA NA NA 1.41629251440051e-05 NA NA NA 1.60385876627611 NA NA NA 0.990818067036342 NA NA NA 1.5852605000345e-05 NA NA NA 8.74274460608668 NA NA NA 0.944412896618634 NA NA NA 0.000100723997294145 NA NA NA 9.41174584608001 NA NA NA 0.941060928758936 NA NA NA 0.000108665437522279 NA NA NA 8.30688138183366 NA NA NA 0.948400067162854 NA NA NA 9.51149656064268e-05
"rep29" NA NA NA 1.74457165562047 NA NA NA 0.995395865401523 NA NA NA 3.01739496828318e-05 NA NA NA 1.85225973614322 NA NA NA 0.995055876249538 NA NA NA 3.30571937321487e-05 NA NA NA 1.90086638909426 NA NA NA 0.995143041820211 NA NA NA 3.30368806465417e-05 NA NA NA 14.2815354996385 NA NA NA 0.954344599745218 NA NA NA 0.000323783350294002 NA NA NA 13.6543939306803 NA NA NA 0.956784980991109 NA NA NA 0.000308960543863201 NA NA NA 12.7232169408129 NA NA NA 0.959933420938544 NA NA NA 0.000287253333840232
"rep30" NA NA NA 1.96184662591048 NA NA NA 0.995166649470359 NA NA NA 4.37458515440716e-05 NA NA NA 2.19641471727405 NA NA NA 0.994584955459667 NA NA NA 5.05282555763588e-05 NA NA NA 1.8760366523215 NA NA NA 0.995299458632654 NA NA NA 4.44711892001819e-05 NA NA NA 15.7426462814021 NA NA NA 0.95411139629773 NA NA NA 0.000441373517904042 NA NA NA 17.7967311146242 NA NA NA 0.949730272005645 NA NA NA 0.000501138537225244 NA NA NA 16.1755821160389 NA NA NA 0.954474185989715 NA NA NA 0.000458224534672911
"rep31" NA NA NA 2.19979813848098 NA NA NA 0.991022428585147 NA NA NA 3.21585860822835e-05 NA NA NA 2.19471353133466 NA NA NA 0.99141035649189 NA NA NA 3.16055365799108e-05 NA NA NA 2.22625464959289 NA NA NA 0.991328788410296 NA NA NA 3.22770763630177e-05 NA NA NA 22.4465014775531 NA NA NA 0.910523746052481 NA NA NA 0.000367773015314206 NA NA NA 22.835257963386 NA NA NA 0.91025404583412 NA NA NA 0.000376284022721473 NA NA NA 22.5718159940509 NA NA NA 0.912930843722693 NA NA NA 0.000367753846124395
