"semnig1" "semnig2" "ridge1" "lasso1" "xtune1" "ebridge1" "dss.semnig1" "dss.semnig2" "dss.semnig3" "dss.lasso1" "dss.ridge1" "dss.ridge2" "dss.ridge3"
"pmse.drug11" 0.987213440975252 0.986659848777481 0.968777781724595 0.99902339753895 0.971977478064151 0.973598921893321 0.993063932541663 0.998476623493295 0.983249057980749 0.977316317172542 0.973713926217134 0.975995973568148 0.978253184481771
"pmse.drug12" 0.774850152007 0.775118150844321 0.771413557249677 0.830262704356573 0.772217798440389 0.767486887763661 0.778128540213998 0.825535338793685 0.878418268631551 0.8846208935295 0.773102146620529 0.826220646448519 0.873244934735988
"pmse.drug13" 0.755052689662298 0.755057648215421 0.768985142176512 0.759377911266413 0.755026225877176 0.780154531615136 0.748503510056284 0.763985336070301 0.780483250417608 0.793833001870826 0.763137806985179 0.779688560692282 0.802354355546328
"pmse.drug14" 0.872557437130344 0.873130347386985 0.861000496567758 0.87184409274141 0.869558426135583 0.856169407109769 0.868569371020292 0.87568138699911 0.938690231653888 0.921296826199324 0.858184031503455 0.874116873252003 0.941073365433564
"pmse.drug15" 0.812460746368946 0.812343032220989 0.804573762253534 0.806050861620925 0.823297764051775 0.812578745302475 0.808467397015846 0.806484001872838 0.858601466126416 0.882927385901123 0.801010214953351 0.810866804805675 0.865645028735694
"pmse.drug16" 0.711921478891887 0.714432635973378 0.705079464396503 0.784505255234271 0.714657281110042 0.681353470024355 0.725033728055847 0.763456288874446 0.906610739781286 0.889414180498667 0.711329224259315 0.770226829199049 0.865392622749565
"pmse.drug17" 0.769600946546597 0.769017588643053 0.769786650852026 0.809556213330093 0.772519804320235 0.773271071159248 0.765781621780944 0.803402908714795 0.850521278575455 0.860623164414508 0.768290260217433 0.811383859377745 0.853555573209721
"pmse.drug18" 0.676350377007671 0.67492917962187 0.692965195808016 0.725326752233916 0.659496875690026 0.698833535862651 0.67737895471401 0.724173911180195 0.867516943864661 0.87829977245595 0.69283432106655 0.726326403406313 0.878109604592034
"pmse.drug19" 0.745455475098067 0.745043252375152 0.753190000193014 0.809597710448654 0.745606499828328 0.753677192562806 0.753719724388733 0.802178590791199 0.912375371536815 0.867274328457414 0.757791277626463 0.806571159077299 0.876312281841508
"pmse.drug20" 0.760594468376103 0.76080050702374 0.75824948665639 0.767950718736622 0.758602317908509 0.756278466046246 0.756003032452971 0.766253145829238 0.814466895407854 0.821590819230874 0.755984411618705 0.767479575144325 0.820159156170479
"pmse.drug21" 0.981546694471642 0.981380440695611 0.926362896780858 0.900900550968178 0.953847627716845 0.935250217072869 0.973979099584553 0.902736877135245 0.919052171298182 0.910403388528609 0.914555899144739 0.886993705102954 0.921160977400566
"pmse.drug22" 0.884540235819515 0.885406193343244 0.888900043823253 0.873448596450483 0.886797427308419 0.881281472682974 0.87840137514054 0.878794991746692 0.927532363605935 0.939133711091683 0.885415152203584 0.882464173681508 0.933694824308352
"pmse.drug23" 1.0020757293836 1.00200699276366 0.989551562523392 0.902730604280881 1.01348258702876 1.00511132115535 0.992221296522239 0.914854289041218 0.909317857057942 0.903321192065938 0.98005457480886 0.916100988501916 0.932635864912355
"pmse.drug24" 0.861314810605004 0.860713892040889 0.853170793600143 0.898393044425435 0.859594199206253 0.856460287275015 0.864631473535503 0.899172233504404 0.914192468769357 0.907551281657076 0.857115916342596 0.886979257626825 0.907081721626725
