"EBridge1" "EBridge2" "lasso1" "ridge1" "bSEM" "null"
"pmse.drug44" 0.849333672664155 0.852399977221545 0.891381708237417 0.846585916268763 0.964442582672222 0.979591836734694
"pmse.drug45" 0.637598321370103 0.637598321370103 0.596401489349213 0.637502887910923 0.957741029337509 0.979591836734694
"pmse.drug46" 1.04795468356899 1.04776547943786 1.01916653349526 1.05235660525843 1.06333542447408 0.979591836734694
"pmse.drug47" 0.709849060027415 0.701762049142158 0.725486847835119 0.713703720046629 0.912325134879191 0.979591836734694
"pmse.drug48" 0.694376441084501 0.690236990537439 0.734994425085102 0.694234843047929 0.955767439789614 0.979591836734694
"pmse.drug49" 0.970605798855079 0.970605798855079 0.980217029428102 0.96984244159444 0.996919624905582 0.979591836734694
"pmse.drug50" 0.914780891657253 0.914874273321091 0.923413908968209 0.912707472610768 1.06170081257026 0.979591836734694
"pmse.drug51" 0.967996755442322 0.971489941131249 1.03540712174372 0.962804289843065 0.948905248694822 0.979591836734694
"pmse.drug52" 0.774381028621988 0.774381028621987 0.713193378517888 0.775022935014372 1.06349806644896 0.979591836734694
"pmse.drug53" 0.978605492876396 0.980181301907505 0.979591836734694 0.985865812953757 0.969054555848005 0.979591836734694
"pmse.drug54" 0.894483400189209 0.894483400189209 0.902601276768578 0.894723348570071 1.00749803791929 0.979591836734694
"pmse.drug55" 0.512241496839666 0.512241496839666 0.522077161012236 0.508127590086006 1.01912103584261 0.979591836734694
"pmse.drug56" 1.00510859074197 1.00510859074197 0.965370106652917 1.00768706020595 0.930111135427314 0.979591836734694
"pmse.drug57" 0.719474509556166 0.719474509556166 0.737642170923508 0.720546402828822 1.04410601591005 0.979591836734694
"pmse.drug58" 0.804507816745601 0.800589192572296 0.808934851902021 0.804470379617311 0.978654494558814 0.979591836734694
"pmse.drug59" 0.928139011563494 0.929110552661015 0.950261746135294 0.924487799800832 0.976785703767646 0.979591836734694
"pmse.drug60" 0.956199845096018 0.960775206481749 0.932246302210074 0.951412460152218 1.0511934695395 0.979591836734694
"pmse.drug61" 0.652151074714171 0.657333660174345 0.621870549134618 0.65362435331829 1.09300303461501 0.979591836734694
"pmse.drug62" 0.795236171272248 0.795236171272248 0.809799382276874 0.795542194361171 1.1599092074491 0.979591836734694
"pmse.drug63" 0.59693156184089 0.59693156184089 0.580338641151424 0.596684817333799 1.11166049531606 0.979591836734694
"pmse.drug64" 0.933660896214288 0.933660896214288 0.916281530378014 0.934697474047238 1.10305604268761 0.979591836734694
"pmse.drug65" 0.761629859064288 0.761629859064288 0.776398585695471 0.762641088315491 1.01640001130443 0.979591836734694
"pmse.drug66" 0.68031450628419 0.680314506284189 0.680745269444246 0.680227858276806 1.00634392160681 0.979591836734694
"pmse.drug67" 0.977540133636834 0.977540133636834 0.989660589300406 0.989727717355379 1.03872083919252 0.979591836734694
"pmse.drug68" 0.927302104397599 0.927302104397599 0.922448780667136 0.930490932508036 1.04568852210813 0.979591836734694
"pmse.drug69" 0.872119728742355 0.879298633662083 0.9429775583251 0.872635277223424 1.01933153653423 0.979591836734694
"pmse.drug70" 0.897816867772054 0.897816867772054 0.852255120621986 0.898442582233974 0.906713241178694 0.979591836734694
"pmse.drug71" 0.752623706574964 0.752623706574964 0.722101872853273 0.750236222538645 1.06079742857142 0.979591836734694
"pmse.drug72" 0.576405843697061 0.57640584369706 0.575063378209592 0.57302501165956 0.975650376271837 0.979591836734694
"pmse.drug73" 0.734304298919293 0.734304298919293 0.698830733459018 0.730343374571862 0.996493420875649 0.979591836734694
"pmse.drug74" 0.500537709174981 0.500537709174981 0.472680927825184 0.500027304353323 1.1644216922542 0.979591836734694
"pmse.drug75" 0.809669738302249 0.809669738302248 0.818974756080097 0.817427287720372 0.999599411059984 0.979591836734694
"pmse.drug76" 0.651359656291035 0.64963730200601 0.668361624395533 0.651001121550025 1.02412347442909 0.979591836734694
"pmse.drug77" 0.720641256411805 0.720641256411805 0.783586153799005 0.724813155634915 1.06109388681678 0.979591836734694
"pmse.drug78" 0.869233561643912 0.869233561643911 0.918913875221295 0.873553223486382 1.01357621326233 0.979591836734694
"pmse.drug79" 0.873950488126636 0.873950488126636 0.848976278471522 0.876723320205673 0.959552986159731 0.979591836734694
"pmse.drug80" 0.975582031349797 0.975582031349797 0.930954474450836 0.975121861151295 0.978293171334516 0.979591836734694
"pmse.drug81" 0.713804824195558 0.706118275300574 0.730214341827323 0.696603327232752 1.00964179259175 0.979591836734694
